id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3006831E+06,  0.6063227E+07,   192.110,  4361.341
           2,  0.3006438E+06,  0.6063360E+07,   465.045,  6171.648
           3,  0.3008612E+06,  0.6063136E+07,   171.797,  4598.029
           4,  0.3008213E+06,  0.6063283E+07,   371.603,  5824.772
           5,  0.3010393E+06,  0.6063045E+07,   137.603,  5510.929
           6,  0.3009829E+06,  0.6063166E+07,   468.664,  6912.026
           7,  0.3012174E+06,  0.6062954E+07,   145.572,  5981.987
           8,  0.3011572E+06,  0.6063082E+07,   427.817,  7348.303
           9,  0.3013955E+06,  0.6062862E+07,   145.746,  6236.919
          10,  0.3013311E+06,  0.6062991E+07,   454.912,  7585.156
          11,  0.3015736E+06,  0.6062771E+07,   140.810,  5450.465
          12,  0.3015076E+06,  0.6062902E+07,   450.871,  7441.637
          13,  0.3017517E+06,  0.6062680E+07,   140.589,  5975.177
          14,  0.3016841E+06,  0.6062811E+07,   460.683,  7405.142
          15,  0.3019298E+06,  0.6062588E+07,   147.879,  6871.693
          16,  0.3018617E+06,  0.6062719E+07,   469.692,  7626.809
          17,  0.3021079E+06,  0.6062497E+07,    92.246,  2650.343
          18,  0.3020315E+06,  0.6062642E+07,   336.443,  7285.594
          19,  0.3021070E+06,  0.6062594E+07,   107.775,  3213.340
          20,  0.3022860E+06,  0.6062406E+07,   156.047,  3779.560
          21,  0.3021960E+06,  0.6062548E+07,   247.506,  3434.111
          22,  0.3024641E+06,  0.6062315E+07,   164.580,  4326.016
          23,  0.3023899E+06,  0.6062460E+07,   302.963,  3713.980
          24,  0.3026423E+06,  0.6062223E+07,   162.679,  4267.591
          25,  0.3025685E+06,  0.6062368E+07,   301.381,  3721.467
          26,  0.3028204E+06,  0.6062132E+07,   169.182,  4208.070
          27,  0.3027458E+06,  0.6062276E+07,   300.530,  3709.220
          28,  0.3029985E+06,  0.6062041E+07,   178.134,  4224.050
          29,  0.3029225E+06,  0.6062186E+07,   299.282,  3660.630
          30,  0.3031766E+06,  0.6061949E+07,   194.136,  4465.909
          31,  0.3030990E+06,  0.6062095E+07,   297.596,  3654.339
          32,  0.3033547E+06,  0.6061858E+07,   186.095,  4304.874
          33,  0.3032751E+06,  0.6062005E+07,   294.235,  3662.208
          34,  0.3035328E+06,  0.6061767E+07,   171.783,  3955.056
          35,  0.3034513E+06,  0.6061914E+07,   288.750,  3651.499
          36,  0.3037109E+06,  0.6061676E+07,   168.913,  3674.356
          37,  0.3036274E+06,  0.6061824E+07,   285.889,  3669.577
          38,  0.3038890E+06,  0.6061584E+07,   158.946,  2998.925
          39,  0.3038046E+06,  0.6061732E+07,   235.618,  3244.163
          40,  0.3038875E+06,  0.6061687E+07,   158.800,  2533.047
          41,  0.3040671E+06,  0.6061493E+07,   167.075,  3234.329
          42,  0.3040472E+06,  0.6061596E+07,   246.133,  2913.202
          43,  0.3042452E+06,  0.6061402E+07,   112.807,  1719.090
          44,  0.3042290E+06,  0.6061506E+07,   207.071,  2232.833
          45,  0.3044236E+06,  0.6061311E+07,   171.197,  3206.659
          46,  0.3043180E+06,  0.6061461E+07,   140.379,  1557.057
          47,  0.3044142E+06,  0.6061421E+07,   223.682,  2112.943
          48,  0.3046022E+06,  0.6061221E+07,   160.501,  3684.813
          49,  0.3045883E+06,  0.6061330E+07,   243.905,  2418.615
          50,  0.3047808E+06,  0.6061130E+07,   154.902,  3276.121
          51,  0.3047501E+06,  0.6061237E+07,   267.129,  2865.469
          52,  0.3049594E+06,  0.6061040E+07,   168.183,  3694.821
          53,  0.3049251E+06,  0.6061151E+07,   259.270,  2872.487
          54,  0.3051380E+06,  0.6060950E+07,   167.374,  3753.284
          55,  0.3051029E+06,  0.6061061E+07,   264.975,  2969.414
          56,  0.3053166E+06,  0.6060859E+07,   136.003,  2713.344
          57,  0.3052804E+06,  0.6060967E+07,   263.423,  2843.554
          58,  0.3054952E+06,  0.6060769E+07,   131.604,  2639.638
          59,  0.3054601E+06,  0.6060875E+07,   249.847,  2537.523
          60,  0.3056739E+06,  0.6060679E+07,   186.938,  3951.628
          61,  0.3056309E+06,  0.6060797E+07,   228.450,  2502.310
          62,  0.3058525E+06,  0.6060589E+07,   164.968,  3365.317
          63,  0.3058173E+06,  0.6060708E+07,   232.434,  2675.438
          64,  0.3060311E+06,  0.6060498E+07,   134.383,  2564.631
          65,  0.3059842E+06,  0.6060610E+07,   242.993,  2666.724
          66,  0.3062097E+06,  0.6060408E+07,   144.610,  3018.204
          67,  0.3061589E+06,  0.6060522E+07,   231.345,  2559.540
          68,  0.3063883E+06,  0.6060318E+07,   160.484,  3381.577
          69,  0.3063246E+06,  0.6060448E+07,   204.534,  2500.230
          70,  0.3065669E+06,  0.6060227E+07,   132.610,  2814.288
          71,  0.3065032E+06,  0.6060346E+07,   249.321,  2869.531
          72,  0.3067455E+06,  0.6060137E+07,   170.848,  3233.803
          73,  0.3066745E+06,  0.6060271E+07,   213.162,  2556.072
          74,  0.3069242E+06,  0.6060047E+07,   171.710,  3259.048
          75,  0.3068656E+06,  0.6060173E+07,   244.308,  2786.905
          76,  0.3071028E+06,  0.6059957E+07,   172.419,  3327.224
          77,  0.3070414E+06,  0.6060081E+07,   242.006,  2857.804
          78,  0.3072814E+06,  0.6059866E+07,   162.091,  3305.922
          79,  0.3072182E+06,  0.6059991E+07,   234.262,  2789.185
          80,  0.3074600E+06,  0.6059776E+07,   190.926,  3423.127
          81,  0.3073882E+06,  0.6059917E+07,   201.522,  2544.832
          82,  0.3076386E+06,  0.6059686E+07,    82.419,  1209.470
          83,  0.3075624E+06,  0.6059826E+07,   201.023,  2544.861
          84,  0.3076468E+06,  0.6059764E+07,    91.819,  1439.650
          85,  0.3078168E+06,  0.6059595E+07,   139.024,  1977.474
          86,  0.3077361E+06,  0.6059718E+07,   163.704,  1773.938
          87,  0.3079942E+06,  0.6059502E+07,   136.474,  1743.928
          88,  0.3079117E+06,  0.6059649E+07,   135.550,  1560.486
          89,  0.3079941E+06,  0.6059602E+07,   140.711,  1396.589
          90,  0.3081711E+06,  0.6059408E+07,   136.599,  1785.827
          91,  0.3080826E+06,  0.6059555E+07,   123.644,  1834.551
          92,  0.3081685E+06,  0.6059511E+07,   139.210,  1463.878
          93,  0.3083481E+06,  0.6059315E+07,   134.576,  2074.522
          94,  0.3082570E+06,  0.6059464E+07,   113.165,  1592.780
          95,  0.3083416E+06,  0.6059421E+07,   135.503,  1630.595
          96,  0.3085251E+06,  0.6059221E+07,   155.222,  3015.015
          97,  0.3084301E+06,  0.6059374E+07,   109.220,  2185.685
          98,  0.3085156E+06,  0.6059328E+07,   144.652,  2193.992
          99,  0.3087020E+06,  0.6059128E+07,   105.000,  1879.506
         100,  0.3086747E+06,  0.6059234E+07,   162.172,  2317.155
         101,  0.3088790E+06,  0.6059034E+07,   194.323,  3848.925
         102,  0.3087632E+06,  0.6059188E+07,    90.091,  1837.609
         103,  0.3088625E+06,  0.6059148E+07,   160.425,  2729.054
         104,  0.3090560E+06,  0.6058941E+07,   183.184,  4024.172
         105,  0.3090392E+06,  0.6059055E+07,   176.229,  3056.818
         106,  0.3092329E+06,  0.6058848E+07,   159.209,  3623.075
         107,  0.3092141E+06,  0.6058963E+07,   177.971,  2914.060
         108,  0.3094099E+06,  0.6058754E+07,   127.018,  2913.718
         109,  0.3093978E+06,  0.6058859E+07,   164.045,  2571.936
         110,  0.3095869E+06,  0.6058661E+07,   124.442,  3056.040
         111,  0.3095600E+06,  0.6058764E+07,   173.828,  2821.855
         112,  0.3097638E+06,  0.6058567E+07,   126.982,  3222.086
         113,  0.3097336E+06,  0.6058674E+07,   171.166,  2909.370
         114,  0.3099408E+06,  0.6058474E+07,   118.997,  2799.127
         115,  0.3099094E+06,  0.6058580E+07,   170.359,  2761.538
         116,  0.3101178E+06,  0.6058380E+07,   139.422,  3391.655
         117,  0.3100786E+06,  0.6058499E+07,   153.542,  2501.567
         118,  0.3102947E+06,  0.6058287E+07,   166.855,  3727.557
         119,  0.3102574E+06,  0.6058405E+07,   185.557,  2927.642
         120,  0.3104717E+06,  0.6058193E+07,   176.094,  3338.393
         121,  0.3104516E+06,  0.6058302E+07,   189.104,  2922.746
         122,  0.3106487E+06,  0.6058100E+07,   165.957,  3549.306
         123,  0.3106303E+06,  0.6058207E+07,   175.536,  2846.094
         124,  0.3108256E+06,  0.6058006E+07,   144.023,  2955.187
         125,  0.3108048E+06,  0.6058115E+07,   156.359,  2589.310
         126,  0.3110025E+06,  0.6057912E+07,   144.932,  3011.819
         127,  0.3109682E+06,  0.6058020E+07,   174.767,  2687.066
         128,  0.3111779E+06,  0.6057816E+07,   148.852,  2948.987
         129,  0.3111519E+06,  0.6057945E+07,   147.092,  2228.782
         130,  0.3113521E+06,  0.6057718E+07,   131.451,  2934.100
         131,  0.3113167E+06,  0.6057829E+07,   172.924,  2672.081
         132,  0.3115263E+06,  0.6057619E+07,   159.037,  4140.973
         133,  0.3114856E+06,  0.6057745E+07,   146.004,  2557.482
         134,  0.3117005E+06,  0.6057521E+07,   157.938,  4065.854
         135,  0.3116579E+06,  0.6057645E+07,   166.903,  2963.221
         136,  0.3118747E+06,  0.6057422E+07,   156.304,  4043.728
         137,  0.3118318E+06,  0.6057547E+07,   164.448,  2911.825
         138,  0.3120488E+06,  0.6057323E+07,   160.320,  4032.817
         139,  0.3120056E+06,  0.6057449E+07,   165.111,  2897.530
         140,  0.3122230E+06,  0.6057225E+07,   167.713,  4014.051
         141,  0.3121794E+06,  0.6057350E+07,   170.494,  2933.883
         142,  0.3123972E+06,  0.6057126E+07,   174.397,  4088.046
         143,  0.3123533E+06,  0.6057252E+07,   175.519,  2964.687
         144,  0.3125714E+06,  0.6057028E+07,   168.811,  2870.151
         145,  0.3125272E+06,  0.6057154E+07,   177.426,  2850.983
         146,  0.3127456E+06,  0.6056929E+07,   156.826,  2343.311
         147,  0.3127012E+06,  0.6057055E+07,   176.045,  2540.161
         148,  0.3129198E+06,  0.6056831E+07,   164.663,  2747.757
         149,  0.3128751E+06,  0.6056957E+07,   174.337,  2509.743
         150,  0.3130940E+06,  0.6056732E+07,   173.650,  3263.087
         151,  0.3130491E+06,  0.6056858E+07,   175.167,  2699.530
         152,  0.3132682E+06,  0.6056634E+07,   147.131,  2355.128
         153,  0.3132231E+06,  0.6056760E+07,   175.577,  2640.311
         154,  0.3134423E+06,  0.6056535E+07,   145.736,  2210.784
         155,  0.3133970E+06,  0.6056662E+07,   172.244,  2430.699
         156,  0.3136165E+06,  0.6056436E+07,   104.809,  2261.743
         157,  0.3135711E+06,  0.6056565E+07,   162.390,  2439.864
         158,  0.3137907E+06,  0.6056338E+07,    46.139,  1143.250
         159,  0.3137445E+06,  0.6056450E+07,   131.970,  2519.212
         160,  0.3139649E+06,  0.6056239E+07,   249.702,  7798.760
         161,  0.3138316E+06,  0.6056401E+07,    92.205,  1957.759
         162,  0.3139380E+06,  0.6056399E+07,   373.741,  7120.920
         163,  0.3140982E+06,  0.6056280E+07,   616.803,  9290.722
         164,  0.3007820E+06,  0.6063415E+07,   170.642,  4110.156
         165,  0.3009430E+06,  0.6063312E+07,   162.508,  3801.439
         166,  0.3008318E+06,  0.6063501E+07,   180.144,  3811.696
         167,  0.3009874E+06,  0.6063398E+07,   164.722,  3608.422
         168,  0.3007433E+06,  0.6063533E+07,   283.417,  5093.227
         169,  0.3011008E+06,  0.6063203E+07,   154.448,  5231.810
         170,  0.3010600E+06,  0.6063327E+07,   315.556,  3211.198
         171,  0.3012709E+06,  0.6063119E+07,   152.448,  5207.608
         172,  0.3012301E+06,  0.6063238E+07,   411.740,  3839.599
         173,  0.3014432E+06,  0.6063031E+07,   152.603,  5531.680
         174,  0.3013996E+06,  0.6063150E+07,   408.599,  3869.990
         175,  0.3016181E+06,  0.6062942E+07,   145.475,  4695.280
         176,  0.3015767E+06,  0.6063063E+07,   434.845,  3953.324
         177,  0.3017942E+06,  0.6062850E+07,   143.155,  5086.692
         178,  0.3017546E+06,  0.6062969E+07,   393.921,  3872.324
         179,  0.3019635E+06,  0.6062773E+07,   153.436,  6221.387
         180,  0.3019315E+06,  0.6062880E+07,   328.330,  3587.801
         181,  0.3021196E+06,  0.6062694E+07,   136.914,  4662.334
         182,  0.3020985E+06,  0.6062803E+07,   283.749,  4127.069
         183,  0.3022999E+06,  0.6062603E+07,   112.622,  3103.192
         184,  0.3022649E+06,  0.6062707E+07,   187.016,  3168.613
         185,  0.3024942E+06,  0.6062513E+07,   123.636,  3573.237
         186,  0.3023697E+06,  0.6062664E+07,   135.017,  2516.896
         187,  0.3024687E+06,  0.6062622E+07,   211.128,  3142.852
         188,  0.3026720E+06,  0.6062420E+07,   123.061,  3520.200
         189,  0.3026306E+06,  0.6062526E+07,   337.838,  3737.547
         190,  0.3028479E+06,  0.6062330E+07,   130.240,  3505.416
         191,  0.3028064E+06,  0.6062437E+07,   337.483,  3732.258
         192,  0.3030230E+06,  0.6062240E+07,   137.120,  3529.302
         193,  0.3029804E+06,  0.6062348E+07,   333.013,  3638.905
         194,  0.3031975E+06,  0.6062150E+07,   149.437,  3733.968
         195,  0.3031537E+06,  0.6062259E+07,   330.965,  3659.536
         196,  0.3033717E+06,  0.6062060E+07,   142.070,  3572.140
         197,  0.3033268E+06,  0.6062169E+07,   324.321,  3691.342
         198,  0.3035459E+06,  0.6061971E+07,   130.955,  3221.971
         199,  0.3034987E+06,  0.6062080E+07,   316.061,  3633.712
         200,  0.3037211E+06,  0.6061880E+07,   128.362,  2919.247
         201,  0.3036708E+06,  0.6061991E+07,   316.526,  3581.511
         202,  0.3038921E+06,  0.6061789E+07,   133.368,  2783.333
         203,  0.3038456E+06,  0.6061902E+07,   306.745,  3769.217
         204,  0.3040457E+06,  0.6061699E+07,   164.373,  2892.604
         205,  0.3040149E+06,  0.6061808E+07,   308.320,  3633.559
         206,  0.3042091E+06,  0.6061609E+07,   134.494,  2888.776
         207,  0.3041719E+06,  0.6061712E+07,   262.568,  2946.734
         208,  0.3043980E+06,  0.6061526E+07,   142.994,  2601.485
         209,  0.3043414E+06,  0.6061637E+07,   278.718,  2951.127
         210,  0.3045789E+06,  0.6061440E+07,   144.850,  2935.869
         211,  0.3045311E+06,  0.6061571E+07,   255.418,  2889.376
         212,  0.3047362E+06,  0.6061346E+07,   153.666,  3614.290
         213,  0.3046922E+06,  0.6061461E+07,   280.045,  3295.233
         214,  0.3048944E+06,  0.6061257E+07,   167.447,  3894.906
         215,  0.3048412E+06,  0.6061381E+07,   222.512,  2927.177
         216,  0.3050685E+06,  0.6061172E+07,   170.770,  4090.444
         217,  0.3050081E+06,  0.6061296E+07,   286.840,  3581.822
         218,  0.3052452E+06,  0.6061079E+07,   176.262,  4156.923
         219,  0.3051749E+06,  0.6061222E+07,   253.521,  3410.675
         220,  0.3054238E+06,  0.6060982E+07,   124.581,  2671.986
         221,  0.3053442E+06,  0.6061133E+07,   237.720,  3325.771
         222,  0.3054361E+06,  0.6061075E+07,   138.944,  2677.167
         223,  0.3055957E+06,  0.6060902E+07,   158.061,  3512.397
         224,  0.3055265E+06,  0.6061028E+07,   199.172,  2668.626
         225,  0.3057744E+06,  0.6060825E+07,   143.133,  3430.895
         226,  0.3057043E+06,  0.6060942E+07,   252.294,  3080.378
         227,  0.3059491E+06,  0.6060729E+07,   188.611,  3769.082
         228,  0.3058773E+06,  0.6060870E+07,   186.996,  2643.000
         229,  0.3059576E+06,  0.6060830E+07,   153.906,  2627.701
         230,  0.3061121E+06,  0.6060634E+07,   123.690,  2487.806
         231,  0.3061133E+06,  0.6060721E+07,   150.139,  2646.636
         232,  0.3062738E+06,  0.6060562E+07,   178.439,  4082.539
         233,  0.3061988E+06,  0.6060679E+07,   161.270,  2358.902
         234,  0.3064395E+06,  0.6060476E+07,   156.792,  3107.773
         235,  0.3063612E+06,  0.6060623E+07,   185.363,  2547.951
         236,  0.3066108E+06,  0.6060389E+07,   150.599,  3589.427
         237,  0.3065434E+06,  0.6060509E+07,   187.381,  2545.660
         238,  0.3067946E+06,  0.6060306E+07,   132.732,  2407.994
         239,  0.3067009E+06,  0.6060452E+07,   155.930,  2271.086
         240,  0.3067808E+06,  0.6060411E+07,   132.761,  1811.464
         241,  0.3069829E+06,  0.6060206E+07,   159.465,  2806.832
         242,  0.3068827E+06,  0.6060358E+07,   123.663,  1812.106
         243,  0.3069635E+06,  0.6060315E+07,   164.021,  1959.992
         244,  0.3071568E+06,  0.6060116E+07,   165.773,  3071.247
         245,  0.3071156E+06,  0.6060226E+07,   195.742,  2395.513
         246,  0.3073250E+06,  0.6060042E+07,   158.272,  3331.256
         247,  0.3072857E+06,  0.6060143E+07,   171.740,  2169.074
         248,  0.3074906E+06,  0.6059967E+07,   150.772,  2489.420
         249,  0.3074490E+06,  0.6060073E+07,   199.368,  2361.724
         250,  0.3076599E+06,  0.6059859E+07,   124.793,  1589.603
         251,  0.3076185E+06,  0.6059978E+07,   221.426,  2491.983
         252,  0.3078310E+06,  0.6059773E+07,   132.720,  2341.603
         253,  0.3077881E+06,  0.6059872E+07,   164.191,  1689.699
         254,  0.3080001E+06,  0.6059703E+07,   141.804,  2361.043
         255,  0.3078748E+06,  0.6059849E+07,   110.368,  1266.845
         256,  0.3079797E+06,  0.6059812E+07,   175.619,  2300.553
         257,  0.3081685E+06,  0.6059611E+07,   121.207,  2022.856
         258,  0.3081355E+06,  0.6059717E+07,   178.481,  2515.192
         259,  0.3083390E+06,  0.6059523E+07,   123.936,  2098.889
         260,  0.3082912E+06,  0.6059631E+07,   189.433,  2609.381
         261,  0.3085091E+06,  0.6059434E+07,   119.031,  1734.067
         262,  0.3084582E+06,  0.6059548E+07,   190.481,  2534.620
         263,  0.3086653E+06,  0.6059341E+07,   164.639,  2897.308
         264,  0.3086228E+06,  0.6059458E+07,   196.556,  2811.213
         265,  0.3088352E+06,  0.6059254E+07,   123.493,  2183.468
         266,  0.3087777E+06,  0.6059364E+07,   186.810,  2443.353
         267,  0.3090227E+06,  0.6059168E+07,   141.766,  3063.126
         268,  0.3089615E+06,  0.6059279E+07,   230.451,  3083.936
         269,  0.3091973E+06,  0.6059076E+07,   139.743,  3595.026
         270,  0.3091421E+06,  0.6059191E+07,   202.196,  2865.877
         271,  0.3093789E+06,  0.6058974E+07,   112.962,  2877.677
         272,  0.3093052E+06,  0.6059115E+07,   144.284,  2256.116
         273,  0.3093767E+06,  0.6059068E+07,    94.569,  2036.041
         274,  0.3095479E+06,  0.6058869E+07,   154.028,  3560.987
         275,  0.3094719E+06,  0.6059012E+07,   175.001,  3542.347
         276,  0.3097067E+06,  0.6058778E+07,   140.771,  3867.245
         277,  0.3096469E+06,  0.6058922E+07,   171.825,  3319.101
         278,  0.3098792E+06,  0.6058687E+07,   135.156,  3929.452
         279,  0.3098182E+06,  0.6058832E+07,   192.937,  3629.867
         280,  0.3100472E+06,  0.6058605E+07,   142.344,  3997.910
         281,  0.3099967E+06,  0.6058725E+07,   171.404,  3276.499
         282,  0.3102182E+06,  0.6058524E+07,   128.155,  3712.375
         283,  0.3101615E+06,  0.6058646E+07,   186.306,  3381.242
         284,  0.3104142E+06,  0.6058420E+07,   122.290,  2977.363
         285,  0.3103334E+06,  0.6058568E+07,   154.661,  2949.170
         286,  0.3104196E+06,  0.6058521E+07,   109.620,  2324.552
         287,  0.3106102E+06,  0.6058315E+07,   170.441,  3361.991
         288,  0.3105253E+06,  0.6058464E+07,   147.204,  2798.276
         289,  0.3106122E+06,  0.6058421E+07,   153.728,  2291.764
         290,  0.3107865E+06,  0.6058222E+07,   169.096,  3791.845
         291,  0.3107719E+06,  0.6058326E+07,   191.894,  2856.749
         292,  0.3109474E+06,  0.6058128E+07,   169.591,  3489.366
         293,  0.3109434E+06,  0.6058236E+07,   178.778,  2763.412
         294,  0.3111176E+06,  0.6058053E+07,   113.795,  2876.608
         295,  0.3110925E+06,  0.6058138E+07,   149.715,  2226.387
         296,  0.3112906E+06,  0.6057958E+07,   122.811,  2648.993
         297,  0.3111879E+06,  0.6058111E+07,   167.431,  2495.935
         298,  0.3113085E+06,  0.6058053E+07,   158.651,  3811.433
         299,  0.3114502E+06,  0.6057857E+07,   157.718,  4210.331
         300,  0.3113862E+06,  0.6057986E+07,   200.901,  4486.676
         301,  0.3116172E+06,  0.6057771E+07,   146.072,  4690.044
         302,  0.3115588E+06,  0.6057899E+07,   252.707,  5213.703
         303,  0.3117892E+06,  0.6057671E+07,   147.076,  4688.704
         304,  0.3117307E+06,  0.6057798E+07,   246.180,  5227.644
         305,  0.3119627E+06,  0.6057574E+07,   146.448,  4693.899
         306,  0.3119039E+06,  0.6057700E+07,   248.503,  5254.509
         307,  0.3121362E+06,  0.6057476E+07,   148.584,  4675.580
         308,  0.3120771E+06,  0.6057603E+07,   251.083,  5264.076
         309,  0.3123097E+06,  0.6057377E+07,   153.338,  4640.486
         310,  0.3122502E+06,  0.6057505E+07,   256.447,  5288.051
         311,  0.3124833E+06,  0.6057279E+07,   157.823,  4746.251
         312,  0.3124236E+06,  0.6057407E+07,   262.350,  5290.083
         313,  0.3126570E+06,  0.6057181E+07,   154.420,  3178.291
         314,  0.3125969E+06,  0.6057309E+07,   270.888,  5261.624
         315,  0.3128307E+06,  0.6057083E+07,   145.914,  2567.564
         316,  0.3127704E+06,  0.6057211E+07,   283.157,  4975.955
         317,  0.3130045E+06,  0.6056985E+07,   153.928,  3094.027
         318,  0.3129439E+06,  0.6057113E+07,   293.599,  5013.253
         319,  0.3131783E+06,  0.6056886E+07,   162.367,  3754.514
         320,  0.3131173E+06,  0.6057015E+07,   304.449,  5397.107
         321,  0.3133520E+06,  0.6056789E+07,   143.722,  2638.531
         322,  0.3132909E+06,  0.6056917E+07,   314.086,  5375.997
         323,  0.3135258E+06,  0.6056692E+07,   145.250,  2491.298
         324,  0.3134643E+06,  0.6056821E+07,   310.094,  5037.775
         325,  0.3136992E+06,  0.6056579E+07,   104.559,  2129.383
         326,  0.3136321E+06,  0.6056738E+07,   356.143,  5693.958
         327,  0.3137283E+06,  0.6056672E+07,   107.464,  2579.912
         328,  0.3138918E+06,  0.6056511E+07,   134.626,  3374.704
         329,  0.3138146E+06,  0.6056606E+07,   317.527,  3641.016
         330,  0.3140713E+06,  0.6056439E+07,   215.652,  7514.260
         331,  0.3139209E+06,  0.6056604E+07,   157.265,  4852.139
         332,  0.3140533E+06,  0.6056594E+07,   426.913,  8900.127
         333,  0.3141907E+06,  0.6056460E+07,   493.574,  9055.938
         334,  0.3009009E+06,  0.6063614E+07,   168.331,  3676.966
         335,  0.3008428E+06,  0.6063706E+07,   401.522,  6113.233
         336,  0.3010565E+06,  0.6063510E+07,   174.698,  3273.551
         337,  0.3011893E+06,  0.6063362E+07,   156.365,  4367.449
         338,  0.3011535E+06,  0.6063488E+07,   342.880,  3634.245
         339,  0.3010324E+06,  0.6063687E+07,   480.597,  6715.773
         340,  0.3011056E+06,  0.6063586E+07,   151.682,  3767.094
         341,  0.3013588E+06,  0.6063269E+07,   156.791,  4657.619
         342,  0.3013199E+06,  0.6063377E+07,   449.732,  4405.054
         343,  0.3015331E+06,  0.6063183E+07,   153.153,  4843.352
         344,  0.3014986E+06,  0.6063298E+07,   357.304,  4115.495
         345,  0.3017132E+06,  0.6063091E+07,   123.304,  3638.081
         346,  0.3016773E+06,  0.6063196E+07,   325.767,  4326.643
         347,  0.3018920E+06,  0.6062999E+07,   143.395,  4470.939
         348,  0.3018481E+06,  0.6063114E+07,   393.368,  3950.856
         349,  0.3020666E+06,  0.6062909E+07,   133.733,  4635.581
         350,  0.3020256E+06,  0.6063025E+07,   442.975,  4524.620
         351,  0.3022438E+06,  0.6062816E+07,   127.542,  3972.468
         352,  0.3022045E+06,  0.6062925E+07,   366.664,  4809.018
         353,  0.3024337E+06,  0.6062726E+07,   105.407,  3244.604
         354,  0.3023843E+06,  0.6062834E+07,   359.249,  4339.541
         355,  0.3026051E+06,  0.6062635E+07,   130.928,  3765.813
         356,  0.3025696E+06,  0.6062750E+07,   385.311,  4289.947
         357,  0.3027650E+06,  0.6062542E+07,   121.146,  3764.098
         358,  0.3027246E+06,  0.6062655E+07,   302.788,  3877.413
         359,  0.3029389E+06,  0.6062455E+07,   129.130,  3753.062
         360,  0.3028906E+06,  0.6062577E+07,   345.778,  4073.092
         361,  0.3031111E+06,  0.6062366E+07,   135.848,  3731.889
         362,  0.3030612E+06,  0.6062489E+07,   371.924,  4258.865
         363,  0.3032830E+06,  0.6062277E+07,   147.396,  3922.836
         364,  0.3032322E+06,  0.6062401E+07,   363.523,  4237.873
         365,  0.3034538E+06,  0.6062189E+07,   141.243,  3808.302
         366,  0.3034008E+06,  0.6062312E+07,   362.326,  4360.244
         367,  0.3036237E+06,  0.6062100E+07,   129.141,  3340.412
         368,  0.3035714E+06,  0.6062223E+07,   343.231,  4172.495
         369,  0.3037953E+06,  0.6062012E+07,   127.918,  3117.316
         370,  0.3037360E+06,  0.6062136E+07,   328.505,  4122.517
         371,  0.3039684E+06,  0.6061920E+07,   146.215,  3170.438
         372,  0.3038988E+06,  0.6062058E+07,   301.751,  4335.111
         373,  0.3041411E+06,  0.6061821E+07,   134.793,  2663.412
         374,  0.3040683E+06,  0.6061964E+07,   328.650,  4670.891
         375,  0.3043042E+06,  0.6061740E+07,   152.220,  3659.299
         376,  0.3042510E+06,  0.6061858E+07,   270.659,  3710.062
         377,  0.3044746E+06,  0.6061682E+07,   116.598,  2814.884
         378,  0.3044046E+06,  0.6061776E+07,   301.190,  3859.324
         379,  0.3046444E+06,  0.6061592E+07,   120.966,  2371.289
         380,  0.3045693E+06,  0.6061736E+07,   255.487,  4485.977
         381,  0.3046668E+06,  0.6061679E+07,   124.935,  3140.683
         382,  0.3047972E+06,  0.6061496E+07,   161.325,  4460.336
         383,  0.3047431E+06,  0.6061615E+07,   204.100,  2612.501
         384,  0.3049549E+06,  0.6061421E+07,   163.777,  3869.171
         385,  0.3049036E+06,  0.6061543E+07,   250.862,  3030.105
         386,  0.3051144E+06,  0.6061347E+07,   167.511,  4401.096
         387,  0.3050607E+06,  0.6061460E+07,   209.135,  2688.097
         388,  0.3052739E+06,  0.6061276E+07,   161.127,  4116.194
         389,  0.3052130E+06,  0.6061384E+07,   265.225,  3205.513
         390,  0.3054470E+06,  0.6061178E+07,   135.242,  2820.691
         391,  0.3053805E+06,  0.6061307E+07,   261.141,  3137.865
         392,  0.3056351E+06,  0.6061067E+07,   122.339,  2623.591
         393,  0.3055464E+06,  0.6061220E+07,   196.656,  2678.798
         394,  0.3056219E+06,  0.6061179E+07,   153.402,  2294.731
         395,  0.3058072E+06,  0.6060987E+07,   184.804,  4560.815
         396,  0.3057182E+06,  0.6061126E+07,   134.389,  2062.271
         397,  0.3057946E+06,  0.6061091E+07,   153.024,  2084.588
         398,  0.3059633E+06,  0.6060919E+07,   144.421,  2956.252
         399,  0.3059352E+06,  0.6061021E+07,   215.517,  2773.592
         400,  0.3061218E+06,  0.6060823E+07,   184.138,  3756.364
         401,  0.3060929E+06,  0.6060942E+07,   223.578,  2891.728
         402,  0.3062862E+06,  0.6060739E+07,   162.549,  4034.084
         403,  0.3062511E+06,  0.6060846E+07,   190.672,  2621.495
         404,  0.3064651E+06,  0.6060656E+07,   151.034,  3197.474
         405,  0.3064129E+06,  0.6060780E+07,   239.952,  3095.609
         406,  0.3066335E+06,  0.6060571E+07,   156.632,  3791.703
         407,  0.3065871E+06,  0.6060683E+07,   191.359,  2657.434
         408,  0.3067890E+06,  0.6060504E+07,   147.725,  2870.451
         409,  0.3067420E+06,  0.6060616E+07,   211.007,  2809.594
         410,  0.3069497E+06,  0.6060420E+07,   158.634,  2617.238
