Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,18/01/2011 14:30:23,18/01/2011 14:30:23,1.000
WQ_GEO_K,18/01/2011 14:30:15,18/01/2011 14:30:15,1.000
WQ_CAR_DIC,10/12/2010 11:25:30,14/03/2013 12:01:12,7.000
WQ_GEO_AL,18/01/2011 14:30:30,14/03/2013 12:01:24,2.000
WQ_DIAG_TOT_TAL,18/01/2011 14:30:23,14/03/2013 12:00:24,2.000
WQ_GEO_CL,18/01/2011 14:30:48,14/03/2013 12:01:11,2.000
WQ_GEO_FEII,18/01/2011 14:30:47,14/03/2013 12:00:15,2.000
WQ_DIAG_TOT_TFE,18/01/2011 14:31:10,14/03/2013 12:00:19,2.000
WQ_GEO_MN,18/01/2011 14:31:20,14/03/2013 12:00:57,2.000
WQ_CAR_PH,10/12/2010 11:26:19,14/03/2013 12:00:39,7.000
WQ_SIL_RSI,18/01/2011 14:30:49,18/01/2011 14:30:49,1.000
WQ_GEO_NA,18/01/2011 14:30:56,18/01/2011 14:30:56,1.000
WQ_GEO_SO4,18/01/2011 14:30:37,14/03/2013 12:00:09,2.000
TEMP,10/12/2010 11:25:56,14/03/2013 12:01:06,5.000
WQ_DIAG_TOT_TURBIDITY,18/01/2011 14:30:05,18/01/2011 14:30:05,1.000
WQ_DIAG_TOT_TSS,18/01/2011 14:30:05,18/01/2011 14:30:05,1.000
WQ_TRC_SS1,18/01/2011 14:30:05,18/01/2011 14:30:05,1.000
