ISOTime,Wx,Wy,Atemp,Rel_Hum,Sol_Rad,Clouds,W_Speed,W_Dir 
01/01/2015 00:00:00,-0.000000,-0.000000,9.900000,91.400000,2.000000,0.898752,0.000000,45.000000 
01/01/2015 01:00:00,-0.035355,-0.035355,9.400000,92.700000,2.000000,0.898752,0.050000,45.000000 
01/01/2015 02:00:00,-0.049497,-0.049497,10.000000,94.800000,2.000000,0.898752,0.070000,45.000000 
01/01/2015 03:00:00,-0.049497,-0.049497,9.400000,95.200000,2.000000,0.898752,0.070000,45.000000 
01/01/2015 04:00:00,-0.579827,-0.579827,10.100000,94.500000,2.000000,0.898752,0.820000,45.000000 
01/01/2015 05:00:00,-0.127279,-0.127279,11.000000,93.300000,3.000000,0.898752,0.180000,45.000000 
01/01/2015 06:00:00,-0.091924,-0.091924,11.100000,94.400000,61.000000,0.036514,0.130000,45.000000 
01/01/2015 07:00:00,-0.431335,-0.431335,15.500000,84.000000,136.000000,0.354616,0.610000,45.000000 
01/01/2015 08:00:00,-1.718269,-1.718269,20.000000,63.100000,261.000000,0.345306,2.430000,45.000000 
01/01/2015 09:00:00,-2.114249,-2.114249,20.200000,58.800000,396.000000,0.319515,2.990000,45.000000 
01/01/2015 10:00:00,-2.828427,-2.828427,19.900000,67.200000,404.000000,0.424427,4.000000,45.000000 
01/01/2015 11:00:00,-1.704127,-1.704127,23.600000,43.300000,848.000000,0.105819,2.410000,45.000000 
01/01/2015 12:00:00,-1.152584,-1.152584,25.500000,31.000000,1031.000000,0.036514,1.630000,45.000000 
01/01/2015 13:00:00,-1.202082,-1.202082,27.400000,30.000000,1034.000000,0.040597,1.700000,45.000000 
01/01/2015 14:00:00,-1.187939,-1.187939,30.100000,25.000000,913.000000,0.091524,1.680000,45.000000 
01/01/2015 15:00:00,-1.103087,-1.103087,32.100000,21.900000,860.000000,0.064112,1.560000,45.000000 
01/01/2015 16:00:00,-0.982878,-0.982878,33.400000,19.100000,696.000000,0.083707,1.390000,45.000000 
01/01/2015 17:00:00,-1.534422,-1.534422,32.800000,19.600000,520.000000,0.088856,2.170000,45.000000 
01/01/2015 18:00:00,-1.096016,-1.096016,32.400000,18.800000,272.000000,0.200608,1.550000,45.000000 
01/01/2015 19:00:00,-0.862670,-0.862670,26.300000,52.100000,61.000000,0.507040,1.220000,45.000000 
01/01/2015 20:00:00,-0.247488,-0.247488,22.800000,63.600000,3.000000,0.898752,0.350000,45.000000 
01/01/2015 21:00:00,-0.353553,-0.353553,19.200000,75.400000,2.000000,0.898752,0.500000,45.000000 
01/01/2015 22:00:00,-0.120208,-0.120208,17.700000,87.300000,2.000000,0.898752,0.170000,45.000000 
01/01/2015 23:00:00,-0.098995,-0.098995,15.600000,91.300000,2.000000,0.898752,0.140000,45.000000 
02/01/2015 00:00:00,-0.014142,-0.014142,15.000000,92.700000,2.000000,0.898752,0.020000,45.000000 
02/01/2015 01:00:00,-0.169706,-0.169706,14.900000,94.200000,2.000000,0.898752,0.240000,45.000000 
02/01/2015 02:00:00,-0.636396,-0.636396,17.100000,74.400000,2.000000,0.898752,0.900000,45.000000 
02/01/2015 03:00:00,-1.117229,-1.117229,20.200000,43.000000,2.000000,0.898752,1.580000,45.000000 
02/01/2015 04:00:00,-0.869741,-0.869741,19.900000,40.500000,2.000000,0.898752,1.230000,45.000000 
02/01/2015 05:00:00,-1.329361,-1.329361,21.700000,34.100000,5.000000,0.898752,1.880000,45.000000 
02/01/2015 06:00:00,-1.626346,-1.626346,22.900000,31.600000,56.000000,0.036514,2.300000,45.000000 
02/01/2015 07:00:00,-1.081873,-1.081873,26.100000,27.100000,254.000000,0.036514,1.530000,45.000000 
02/01/2015 08:00:00,-1.817264,-1.817264,31.800000,18.800000,468.000000,0.036514,2.570000,45.000000 
02/01/2015 09:00:00,-1.838478,-1.838478,36.000000,13.800000,525.000000,0.164544,2.600000,45.000000 
02/01/2015 10:00:00,-3.648671,-3.648671,39.600000,10.300000,857.000000,0.036514,5.160000,45.000000 
02/01/2015 11:00:00,3.146625,3.146625,40.700000,10.000000,1015.000000,0.036514,4.450000,225.000000 
02/01/2015 12:00:00,2.510229,2.510229,41.300000,9.800000,1066.000000,0.036514,3.550000,225.000000 
02/01/2015 13:00:00,2.616295,2.616295,42.100000,9.400000,1021.000000,0.048393,3.700000,225.000000 
02/01/2015 14:00:00,2.651651,2.651651,42.600000,8.300000,925.000000,0.083693,3.750000,225.000000 
02/01/2015 15:00:00,1.902117,1.902117,43.000000,7.800000,873.000000,0.055165,2.690000,225.000000 
02/01/2015 16:00:00,1.704127,1.704127,42.400000,7.700000,715.000000,0.067808,2.410000,225.000000 
02/01/2015 17:00:00,1.810193,1.810193,41.400000,8.300000,415.000000,0.220506,2.560000,225.000000 
02/01/2015 18:00:00,-1.788980,-1.788980,37.400000,19.100000,180.000000,0.415561,2.530000,45.000000 
02/01/2015 19:00:00,-1.506137,-1.506137,30.600000,29.800000,53.000000,0.570930,2.130000,45.000000 
02/01/2015 20:00:00,-0.367696,-0.367696,25.300000,51.900000,3.000000,0.898752,0.520000,45.000000 
02/01/2015 21:00:00,-0.452548,-0.452548,21.000000,63.000000,2.000000,0.898752,0.640000,45.000000 
02/01/2015 22:00:00,-0.289914,-0.289914,18.200000,73.000000,2.000000,0.898752,0.410000,45.000000 
02/01/2015 23:00:00,-0.098995,-0.098995,17.200000,70.900000,2.000000,0.898752,0.140000,45.000000 
03/01/2015 00:00:00,-0.000000,-0.000000,15.500000,74.800000,2.000000,0.898752,0.000000,45.000000 
03/01/2015 01:00:00,-0.000000,-0.000000,14.900000,74.200000,2.000000,0.898752,0.000000,45.000000 
03/01/2015 02:00:00,-0.000000,-0.000000,13.900000,73.400000,2.000000,0.898752,0.000000,45.000000 
03/01/2015 03:00:00,-0.042426,-0.042426,13.700000,74.200000,2.000000,0.898752,0.060000,45.000000 
03/01/2015 04:00:00,-0.282843,-0.282843,14.000000,72.500000,2.000000,0.898752,0.400000,45.000000 
03/01/2015 05:00:00,-0.205061,-0.205061,14.300000,69.800000,5.000000,0.898752,0.290000,45.000000 
03/01/2015 06:00:00,-0.282843,-0.282843,14.700000,74.000000,65.000000,0.036514,0.400000,45.000000 
03/01/2015 07:00:00,-0.636396,-0.636396,22.300000,66.100000,255.000000,0.036514,0.900000,45.000000 
03/01/2015 08:00:00,-1.357645,-1.357645,24.500000,59.200000,449.000000,0.036514,1.920000,45.000000 
03/01/2015 09:00:00,-1.697056,-1.697056,26.600000,47.600000,564.000000,0.120821,2.400000,45.000000 
03/01/2015 10:00:00,-1.357645,-1.357645,27.800000,48.600000,309.000000,0.544774,1.920000,45.000000 
03/01/2015 11:00:00,-1.859691,-1.859691,29.900000,36.100000,992.000000,0.036514,2.630000,45.000000 
03/01/2015 12:00:00,-1.895046,-1.895046,29.500000,32.300000,787.000000,0.192708,2.680000,45.000000 
03/01/2015 13:00:00,-3.379970,-3.379970,29.500000,29.100000,820.000000,0.179093,4.780000,45.000000 
03/01/2015 14:00:00,-3.379970,-3.379970,26.700000,49.400000,496.000000,0.419476,4.780000,45.000000 
03/01/2015 15:00:00,-2.481945,-2.481945,26.000000,48.600000,282.000000,0.624388,3.510000,45.000000 
03/01/2015 16:00:00,-1.216224,-1.216224,24.100000,57.600000,128.000000,0.875303,1.720000,45.000000 
03/01/2015 17:00:00,-0.862670,-0.862670,23.500000,63.000000,133.000000,0.743267,1.220000,45.000000 
03/01/2015 18:00:00,-1.393000,-1.393000,23.300000,65.200000,127.000000,0.574349,1.970000,45.000000 
03/01/2015 19:00:00,-0.989949,-0.989949,21.400000,72.900000,39.000000,0.700463,1.400000,45.000000 
03/01/2015 20:00:00,-1.074802,-1.074802,20.600000,77.400000,2.000000,0.898752,1.520000,45.000000 
03/01/2015 21:00:00,-1.866762,-1.866762,19.600000,85.000000,2.000000,0.898752,2.640000,45.000000 
03/01/2015 22:00:00,-2.184960,-2.184960,19.300000,80.800000,2.000000,0.898752,3.090000,45.000000 
03/01/2015 23:00:00,-1.322290,-1.322290,18.700000,79.300000,2.000000,0.898752,1.870000,45.000000 
04/01/2015 00:00:00,-1.421285,-1.421285,18.500000,78.600000,2.000000,0.898752,2.010000,45.000000 
04/01/2015 01:00:00,-1.880904,-1.880904,18.500000,77.600000,2.000000,0.898752,2.660000,45.000000 
04/01/2015 02:00:00,-1.569777,-1.569777,17.900000,79.500000,2.000000,0.898752,2.220000,45.000000 
04/01/2015 03:00:00,-1.612203,-1.612203,18.000000,79.100000,2.000000,0.898752,2.280000,45.000000 
04/01/2015 04:00:00,-1.937472,-1.937472,17.700000,76.300000,2.000000,0.898752,2.740000,45.000000 
04/01/2015 05:00:00,-1.718269,-1.718269,17.400000,71.700000,3.000000,0.898752,2.430000,45.000000 
04/01/2015 06:00:00,-1.880904,-1.880904,17.400000,71.700000,44.000000,0.036514,2.660000,45.000000 
04/01/2015 07:00:00,-1.909188,-1.909188,17.600000,71.800000,94.000000,0.514596,2.700000,45.000000 
04/01/2015 08:00:00,-1.569777,-1.569777,18.200000,67.700000,207.000000,0.450290,2.220000,45.000000 
04/01/2015 09:00:00,-1.746554,-1.746554,18.700000,63.200000,313.000000,0.430879,2.470000,45.000000 
04/01/2015 10:00:00,-1.852620,-1.852620,20.400000,58.500000,923.000000,0.036514,2.620000,45.000000 
04/01/2015 11:00:00,-2.100107,-2.100107,21.500000,51.900000,996.000000,0.036514,2.970000,45.000000 
04/01/2015 12:00:00,-2.121320,-2.121320,22.100000,49.200000,1058.000000,0.036514,3.000000,45.000000 
04/01/2015 13:00:00,-2.474874,-2.474874,22.500000,46.800000,1036.000000,0.038878,3.500000,45.000000 
04/01/2015 14:00:00,-2.446589,-2.446589,22.500000,49.200000,977.000000,0.050058,3.460000,45.000000 
04/01/2015 15:00:00,-2.538513,-2.538513,22.400000,53.800000,877.000000,0.052910,3.590000,45.000000 
04/01/2015 16:00:00,-2.793072,-2.793072,21.400000,57.800000,705.000000,0.077537,3.950000,45.000000 
04/01/2015 17:00:00,-2.764787,-2.764787,20.900000,59.500000,502.000000,0.112656,3.910000,45.000000 
04/01/2015 18:00:00,-2.531442,-2.531442,19.500000,65.800000,288.000000,0.171945,3.580000,45.000000 
04/01/2015 19:00:00,-2.170818,-2.170818,18.700000,69.500000,76.000000,0.410991,3.070000,45.000000 
04/01/2015 20:00:00,-1.605132,-1.605132,17.400000,70.300000,2.000000,0.898752,2.270000,45.000000 
04/01/2015 21:00:00,-0.841457,-0.841457,16.400000,74.100000,2.000000,0.898752,1.190000,45.000000 
04/01/2015 22:00:00,-0.000000,-0.000000,14.100000,81.500000,2.000000,0.898752,0.000000,45.000000 
04/01/2015 23:00:00,-0.466691,-0.466691,13.900000,86.000000,2.000000,0.898752,0.660000,45.000000 
05/01/2015 00:00:00,-1.195011,-1.195011,16.000000,85.300000,2.000000,0.898752,1.690000,45.000000 
05/01/2015 01:00:00,-1.039447,-1.039447,16.000000,81.600000,2.000000,0.898752,1.470000,45.000000 
05/01/2015 02:00:00,-0.176777,-0.176777,14.900000,82.300000,2.000000,0.898752,0.250000,45.000000 
05/01/2015 03:00:00,-0.000000,-0.000000,11.500000,87.900000,2.000000,0.898752,0.000000,45.000000 
05/01/2015 04:00:00,-0.318198,-0.318198,11.000000,93.200000,2.000000,0.898752,0.450000,45.000000 
05/01/2015 05:00:00,-0.000000,-0.000000,10.300000,89.400000,4.000000,0.898752,0.000000,45.000000 
05/01/2015 06:00:00,-0.000000,-0.000000,11.700000,92.800000,68.000000,0.036514,0.000000,45.000000 
05/01/2015 07:00:00,-0.933381,-0.933381,17.200000,69.900000,283.000000,0.036514,1.320000,45.000000 
05/01/2015 08:00:00,-0.791960,-0.791960,19.300000,57.500000,482.000000,0.036514,1.120000,45.000000 
05/01/2015 09:00:00,-1.385929,-1.385929,20.900000,46.800000,658.000000,0.036514,1.960000,45.000000 
05/01/2015 10:00:00,-1.195011,-1.195011,22.500000,52.500000,820.000000,0.036514,1.690000,45.000000 
05/01/2015 11:00:00,-1.994041,-1.994041,22.500000,58.800000,965.000000,0.036514,2.820000,45.000000 
05/01/2015 12:00:00,-1.951615,-1.951615,24.100000,52.600000,1028.000000,0.036514,2.760000,45.000000 
05/01/2015 13:00:00,-1.923331,-1.923331,25.100000,50.600000,1006.000000,0.057027,2.720000,45.000000 
05/01/2015 14:00:00,-2.255671,-2.255671,26.600000,41.700000,945.000000,0.070715,3.190000,45.000000 
05/01/2015 15:00:00,-2.658721,-2.658721,25.400000,50.100000,851.000000,0.071772,3.760000,45.000000 
05/01/2015 16:00:00,-2.446589,-2.446589,24.300000,54.000000,672.000000,0.107044,3.460000,45.000000 
05/01/2015 17:00:00,-2.778930,-2.778930,22.900000,61.600000,475.000000,0.145975,3.930000,45.000000 
05/01/2015 18:00:00,-2.163747,-2.163747,21.900000,61.400000,266.000000,0.217664,3.060000,45.000000 
05/01/2015 19:00:00,-1.725341,-1.725341,20.500000,68.800000,73.000000,0.431621,2.440000,45.000000 
05/01/2015 20:00:00,-1.081873,-1.081873,18.900000,74.000000,3.000000,0.898752,1.530000,45.000000 
05/01/2015 21:00:00,-1.117229,-1.117229,17.900000,81.000000,2.000000,0.898752,1.580000,45.000000 
05/01/2015 22:00:00,-0.989949,-0.989949,17.400000,84.800000,2.000000,0.898752,1.400000,45.000000 
05/01/2015 23:00:00,-0.883884,-0.883884,17.400000,87.000000,2.000000,0.898752,1.250000,45.000000 
06/01/2015 00:00:00,-0.650538,-0.650538,17.000000,89.100000,2.000000,0.898752,0.920000,45.000000 
06/01/2015 01:00:00,-0.304056,-0.304056,16.100000,91.100000,2.000000,0.898752,0.430000,45.000000 
06/01/2015 02:00:00,-0.332340,-0.332340,15.400000,93.500000,2.000000,0.898752,0.470000,45.000000 
06/01/2015 03:00:00,-0.381838,-0.381838,15.200000,94.400000,2.000000,0.898752,0.540000,45.000000 
06/01/2015 04:00:00,-0.000000,-0.000000,14.100000,93.800000,2.000000,0.898752,0.000000,45.000000 
06/01/2015 05:00:00,-0.000000,-0.000000,12.700000,94.500000,4.000000,0.898752,0.000000,45.000000 
06/01/2015 06:00:00,-0.035355,-0.035355,14.000000,96.700000,75.000000,0.036514,0.050000,45.000000 
06/01/2015 07:00:00,-0.650538,-0.650538,18.900000,72.600000,269.000000,0.036514,0.920000,45.000000 
06/01/2015 08:00:00,-1.004092,-1.004092,21.800000,55.400000,462.000000,0.036514,1.420000,45.000000 
06/01/2015 09:00:00,-0.961665,-0.961665,23.800000,45.300000,641.000000,0.036514,1.360000,45.000000 
06/01/2015 10:00:00,-0.905097,-0.905097,25.900000,39.800000,800.000000,0.046801,1.280000,45.000000 
06/01/2015 11:00:00,-0.940452,-0.940452,28.700000,32.300000,945.000000,0.036514,1.330000,45.000000 
06/01/2015 12:00:00,-0.982878,-0.982878,31.700000,28.500000,1008.000000,0.044047,1.390000,45.000000 
06/01/2015 13:00:00,-1.866762,-1.866762,31.100000,35.700000,998.000000,0.061723,2.640000,45.000000 
06/01/2015 14:00:00,-2.326381,-2.326381,29.900000,37.800000,943.000000,0.071992,3.290000,45.000000 
06/01/2015 15:00:00,-2.368808,-2.368808,29.200000,38.200000,848.000000,0.074124,3.350000,45.000000 
06/01/2015 16:00:00,-2.559727,-2.559727,28.800000,39.600000,675.000000,0.104743,3.620000,45.000000 
06/01/2015 17:00:00,-2.764787,-2.764787,26.800000,49.400000,480.000000,0.140426,3.910000,45.000000 
06/01/2015 18:00:00,-2.361737,-2.361737,25.100000,55.500000,271.000000,0.208115,3.340000,45.000000 
06/01/2015 19:00:00,-1.555635,-1.555635,24.000000,56.300000,75.000000,0.419921,2.200000,45.000000 
06/01/2015 20:00:00,-0.905097,-0.905097,21.600000,69.300000,3.000000,0.898752,1.280000,45.000000 
06/01/2015 21:00:00,-0.431335,-0.431335,20.000000,74.300000,2.000000,0.898752,0.610000,45.000000 
06/01/2015 22:00:00,-0.438406,-0.438406,19.400000,73.000000,2.000000,0.898752,0.620000,45.000000 
06/01/2015 23:00:00,-0.219203,-0.219203,18.800000,72.800000,2.000000,0.898752,0.310000,45.000000 
07/01/2015 00:00:00,-0.000000,-0.000000,17.200000,76.000000,2.000000,0.898752,0.000000,45.000000 
07/01/2015 01:00:00,-0.000000,-0.000000,17.000000,78.000000,2.000000,0.898752,0.000000,45.000000 
07/01/2015 02:00:00,-0.007071,-0.007071,16.600000,80.100000,2.000000,0.898752,0.010000,45.000000 
07/01/2015 03:00:00,-0.000000,-0.000000,16.100000,81.800000,2.000000,0.898752,0.000000,45.000000 
07/01/2015 04:00:00,-0.000000,-0.000000,16.100000,82.800000,2.000000,0.898752,0.000000,45.000000 
07/01/2015 05:00:00,-0.000000,-0.000000,16.500000,80.900000,4.000000,0.898752,0.000000,45.000000 
07/01/2015 06:00:00,-0.000000,-0.000000,19.100000,75.400000,64.000000,0.036514,0.000000,45.000000 
07/01/2015 07:00:00,-0.664680,-0.664680,26.500000,47.500000,265.000000,0.036514,0.940000,45.000000 
07/01/2015 08:00:00,-0.954594,-0.954594,31.900000,32.200000,451.000000,0.036514,1.350000,45.000000 
07/01/2015 09:00:00,-1.930401,-1.930401,37.000000,26.900000,624.000000,0.051199,2.730000,45.000000 
07/01/2015 10:00:00,-2.446589,-2.446589,39.100000,22.400000,784.000000,0.058004,3.460000,45.000000 
07/01/2015 11:00:00,-1.336432,-1.336432,40.300000,20.300000,916.000000,0.053746,1.890000,45.000000 
07/01/2015 12:00:00,-0.926310,-0.926310,41.100000,18.800000,1001.000000,0.047846,1.310000,45.000000 
07/01/2015 13:00:00,-0.728320,-0.728320,39.000000,21.500000,436.000000,0.497676,1.030000,45.000000 
07/01/2015 14:00:00,-3.266833,-3.266833,27.500000,55.700000,12.000000,0.898752,4.620000,45.000000 
07/01/2015 15:00:00,-0.799031,-0.799031,22.800000,85.100000,10.000000,0.898752,1.130000,45.000000 
07/01/2015 16:00:00,-1.534422,-1.534422,25.800000,62.200000,98.000000,0.898752,2.170000,45.000000 
07/01/2015 17:00:00,-1.456640,-1.456640,26.900000,65.200000,118.000000,0.793389,2.060000,45.000000 
07/01/2015 18:00:00,-2.920351,-2.920351,26.700000,63.600000,50.000000,0.898752,4.130000,45.000000 
07/01/2015 19:00:00,-1.598061,-1.598061,26.700000,63.000000,10.000000,0.898752,2.260000,45.000000 
07/01/2015 20:00:00,-1.286934,-1.286934,26.000000,62.400000,2.000000,0.898752,1.820000,45.000000 
07/01/2015 21:00:00,-1.583919,-1.583919,24.600000,73.100000,2.000000,0.898752,2.240000,45.000000 
07/01/2015 22:00:00,-0.558614,-0.558614,23.400000,80.900000,2.000000,0.898752,0.790000,45.000000 
07/01/2015 23:00:00,-2.015254,-2.015254,22.900000,84.700000,2.000000,0.898752,2.850000,45.000000 
08/01/2015 00:00:00,-0.685894,-0.685894,22.500000,83.000000,2.000000,0.898752,0.970000,45.000000 
08/01/2015 01:00:00,-0.424264,-0.424264,22.000000,87.500000,2.000000,0.898752,0.600000,45.000000 
08/01/2015 02:00:00,-0.162634,-0.162634,21.300000,89.900000,2.000000,0.898752,0.230000,45.000000 
08/01/2015 03:00:00,-0.304056,-0.304056,21.000000,93.900000,2.000000,0.898752,0.430000,45.000000 
08/01/2015 04:00:00,-2.439518,-2.439518,20.900000,94.200000,2.000000,0.898752,3.450000,45.000000 
08/01/2015 05:00:00,-1.640488,-1.640488,21.000000,92.000000,3.000000,0.898752,2.320000,45.000000 
08/01/2015 06:00:00,-1.986970,-1.986970,21.800000,88.500000,34.000000,0.036514,2.810000,45.000000 
08/01/2015 07:00:00,-1.965757,-1.965757,22.200000,85.500000,26.000000,0.898752,2.780000,45.000000 
08/01/2015 08:00:00,-1.159655,-1.159655,21.900000,87.700000,90.000000,0.793513,1.640000,45.000000 
08/01/2015 09:00:00,-0.671751,-0.671751,21.800000,91.800000,98.000000,0.898752,0.950000,45.000000 
08/01/2015 10:00:00,-0.233345,-0.233345,22.000000,92.100000,149.000000,0.841787,0.330000,45.000000 
08/01/2015 11:00:00,-0.643467,-0.643467,21.600000,92.500000,75.000000,0.898752,0.910000,45.000000 
08/01/2015 12:00:00,-1.994041,-1.994041,21.600000,94.200000,91.000000,0.898752,2.820000,45.000000 
08/01/2015 13:00:00,-0.685894,-0.685894,22.700000,94.000000,198.000000,0.826957,0.970000,45.000000 
08/01/2015 14:00:00,-0.855599,-0.855599,24.600000,88.800000,289.000000,0.657178,1.210000,45.000000 
08/01/2015 15:00:00,-0.862670,-0.862670,25.900000,81.700000,293.000000,0.608942,1.220000,45.000000 
08/01/2015 16:00:00,-2.481945,-2.481945,23.700000,80.600000,275.000000,0.560339,3.510000,45.000000 
08/01/2015 17:00:00,-1.909188,-1.909188,22.000000,85.700000,279.000000,0.426916,2.700000,45.000000 
08/01/2015 18:00:00,-2.050610,-2.050610,20.700000,87.800000,61.000000,0.880250,2.900000,45.000000 
08/01/2015 19:00:00,-0.961665,-0.961665,20.200000,88.500000,10.000000,0.898752,1.360000,45.000000 
08/01/2015 20:00:00,-1.294005,-1.294005,19.500000,90.100000,2.000000,0.898752,1.830000,45.000000 
08/01/2015 21:00:00,-1.336432,-1.336432,19.100000,89.400000,2.000000,0.898752,1.890000,45.000000 
08/01/2015 22:00:00,-1.350574,-1.350574,18.600000,83.800000,2.000000,0.898752,1.910000,45.000000 
08/01/2015 23:00:00,-0.791960,-0.791960,18.500000,84.700000,2.000000,0.898752,1.120000,45.000000 
09/01/2015 00:00:00,-0.848528,-0.848528,18.300000,86.500000,2.000000,0.898752,1.200000,45.000000 
09/01/2015 01:00:00,-0.820244,-0.820244,18.000000,90.100000,2.000000,0.898752,1.160000,45.000000 
09/01/2015 02:00:00,-0.869741,-0.869741,18.100000,90.200000,2.000000,0.898752,1.230000,45.000000 
09/01/2015 03:00:00,-1.159655,-1.159655,18.100000,88.600000,2.000000,0.898752,1.640000,45.000000 
09/01/2015 04:00:00,-1.216224,-1.216224,17.800000,88.800000,2.000000,0.898752,1.720000,45.000000 
09/01/2015 05:00:00,-1.470782,-1.470782,17.400000,90.500000,2.000000,0.898752,2.080000,45.000000 
09/01/2015 06:00:00,-1.230366,-1.230366,17.000000,92.200000,21.000000,0.214712,1.740000,45.000000 
09/01/2015 07:00:00,-1.491995,-1.491995,16.900000,90.500000,57.000000,0.701572,2.110000,45.000000 
09/01/2015 08:00:00,-1.081873,-1.081873,17.300000,88.500000,121.000000,0.671105,1.530000,45.000000 
09/01/2015 09:00:00,-1.053589,-1.053589,16.900000,92.200000,144.000000,0.756022,1.490000,45.000000 
09/01/2015 10:00:00,-1.407143,-1.407143,16.800000,93.900000,233.000000,0.658707,1.990000,45.000000 
09/01/2015 11:00:00,-1.209152,-1.209152,17.500000,87.100000,127.000000,0.898752,1.710000,45.000000 
09/01/2015 12:00:00,-1.760696,-1.760696,17.300000,85.200000,121.000000,0.898752,2.490000,45.000000 
09/01/2015 13:00:00,-1.902117,-1.902117,17.100000,81.600000,123.000000,0.898752,2.690000,45.000000 
09/01/2015 14:00:00,-1.718269,-1.718269,16.200000,85.200000,86.000000,0.898752,2.430000,45.000000 
09/01/2015 15:00:00,-2.029396,-2.029396,16.000000,85.800000,119.000000,0.898752,2.870000,45.000000 
09/01/2015 16:00:00,-1.965757,-1.965757,15.400000,88.900000,60.000000,0.898752,2.780000,45.000000 
09/01/2015 17:00:00,-1.711198,-1.711198,15.000000,91.100000,36.000000,0.898752,2.420000,45.000000 
09/01/2015 18:00:00,-1.385929,-1.385929,15.000000,92.400000,31.000000,0.898752,1.960000,45.000000 
09/01/2015 19:00:00,-0.537401,-0.537401,15.400000,86.800000,4.000000,0.898752,0.760000,45.000000 
09/01/2015 20:00:00,-0.728320,-0.728320,14.900000,91.500000,2.000000,0.898752,1.030000,45.000000 
09/01/2015 21:00:00,-0.643467,-0.643467,15.500000,91.100000,2.000000,0.898752,0.910000,45.000000 
09/01/2015 22:00:00,-0.926310,-0.926310,16.200000,89.200000,2.000000,0.898752,1.310000,45.000000 
09/01/2015 23:00:00,-0.346482,-0.346482,16.400000,88.600000,2.000000,0.898752,0.490000,45.000000 
10/01/2015 00:00:00,-0.799031,-0.799031,16.100000,89.600000,2.000000,0.898752,1.130000,45.000000 
10/01/2015 01:00:00,-1.753625,-1.753625,15.300000,84.400000,2.000000,0.898752,2.480000,45.000000 
10/01/2015 02:00:00,-1.598061,-1.598061,15.000000,81.400000,2.000000,0.898752,2.260000,45.000000 
10/01/2015 03:00:00,-1.491995,-1.491995,14.900000,78.400000,2.000000,0.898752,2.110000,45.000000 
10/01/2015 04:00:00,-1.682914,-1.682914,14.800000,74.000000,2.000000,0.898752,2.380000,45.000000 
10/01/2015 05:00:00,-1.484924,-1.484924,14.400000,77.700000,2.000000,0.898752,2.100000,45.000000 
10/01/2015 06:00:00,-1.152584,-1.152584,14.100000,80.600000,12.000000,0.461186,1.630000,45.000000 
10/01/2015 07:00:00,-0.848528,-0.848528,13.400000,88.000000,27.000000,0.898752,1.200000,45.000000 
10/01/2015 08:00:00,-0.820244,-0.820244,13.500000,90.700000,80.000000,0.836936,1.160000,45.000000 
10/01/2015 09:00:00,-1.018234,-1.018234,14.300000,86.100000,113.000000,0.853907,1.440000,45.000000 
10/01/2015 10:00:00,-1.258650,-1.258650,14.700000,87.600000,165.000000,0.797800,1.780000,45.000000 
10/01/2015 11:00:00,-1.124300,-1.124300,14.700000,90.100000,121.000000,0.898752,1.590000,45.000000 
10/01/2015 12:00:00,-1.491995,-1.491995,14.600000,92.100000,127.000000,0.898752,2.110000,45.000000 
10/01/2015 13:00:00,-1.088944,-1.088944,15.500000,91.900000,171.000000,0.888819,1.540000,45.000000 
10/01/2015 14:00:00,-1.322290,-1.322290,16.100000,89.300000,174.000000,0.864479,1.870000,45.000000 
10/01/2015 15:00:00,-1.081873,-1.081873,15.900000,90.000000,60.000000,0.898752,1.530000,45.000000 
10/01/2015 16:00:00,-1.032376,-1.032376,16.200000,88.300000,51.000000,0.898752,1.460000,45.000000 
10/01/2015 17:00:00,-0.961665,-0.961665,16.700000,86.300000,107.000000,0.834214,1.360000,45.000000 
10/01/2015 18:00:00,-1.081873,-1.081873,17.200000,82.100000,47.000000,0.898752,1.530000,45.000000 
10/01/2015 19:00:00,-0.487904,-0.487904,17.300000,82.100000,14.000000,0.898752,0.690000,45.000000 
10/01/2015 20:00:00,-0.183848,-0.183848,17.000000,85.300000,2.000000,0.898752,0.260000,45.000000 
10/01/2015 21:00:00,-0.516188,-0.516188,17.100000,86.200000,2.000000,0.898752,0.730000,45.000000 
10/01/2015 22:00:00,-0.707107,-0.707107,17.600000,81.300000,2.000000,0.898752,1.000000,45.000000 
10/01/2015 23:00:00,-0.374767,-0.374767,17.600000,82.300000,2.000000,0.898752,0.530000,45.000000 
11/01/2015 00:00:00,-0.692965,-0.692965,17.600000,82.000000,2.000000,0.898752,0.980000,45.000000 
11/01/2015 01:00:00,-0.827315,-0.827315,17.800000,79.500000,2.000000,0.898752,1.170000,45.000000 
11/01/2015 02:00:00,-1.378858,-1.378858,17.200000,79.300000,2.000000,0.898752,1.950000,45.000000 
11/01/2015 03:00:00,-1.817264,-1.817264,16.500000,80.200000,2.000000,0.898752,2.570000,45.000000 
11/01/2015 04:00:00,-1.548564,-1.548564,16.200000,82.800000,2.000000,0.898752,2.190000,45.000000 
11/01/2015 05:00:00,-1.697056,-1.697056,16.000000,83.500000,3.000000,0.898752,2.400000,45.000000 
11/01/2015 06:00:00,-1.350574,-1.350574,16.100000,84.200000,25.000000,0.036514,1.910000,45.000000 
11/01/2015 07:00:00,-1.873833,-1.873833,16.500000,83.300000,87.000000,0.511731,2.650000,45.000000 
11/01/2015 08:00:00,-1.428356,-1.428356,16.900000,82.100000,144.000000,0.593419,2.020000,45.000000 
