"Time","A4261153"
"and","Water Temp. (Deg.C)"
"Date","Mean"
15/05/2008 00:00,""
16/05/2008 00:00,       13.16
17/05/2008 00:00,       11.43
18/05/2008 00:00,       12.74
19/05/2008 00:00,       13.95
20/05/2008 00:00,       14.96
21/05/2008 00:00,       15.39
22/05/2008 00:00,       14.04
23/05/2008 00:00,       12.79
24/05/2008 00:00,       12.07
25/05/2008 00:00,       12.39
26/05/2008 00:00,       13.16
27/05/2008 00:00,       13.38
28/05/2008 00:00,       13.32
29/05/2008 00:00,       12.99
30/05/2008 00:00,       12.32
31/05/2008 00:00,       12.80
01/06/2008 00:00,       12.39
02/06/2008 00:00,       12.18
03/06/2008 00:00,       12.24
04/06/2008 00:00,       12.07
05/06/2008 00:00,       12.89
06/06/2008 00:00,       12.88
07/06/2008 00:00,       12.06
08/06/2008 00:00,       11.65
09/06/2008 00:00,       11.98
10/06/2008 00:00,       12.07
11/06/2008 00:00,       12.80
12/06/2008 00:00,       12.21
13/06/2008 00:00,       11.54
14/06/2008 00:00,       11.67
15/06/2008 00:00,       12.12
16/06/2008 00:00,       11.00
17/06/2008 00:00,       10.32
18/06/2008 00:00,       10.87
19/06/2008 00:00,       11.87
20/06/2008 00:00,       11.88
21/06/2008 00:00,       12.37
22/06/2008 00:00,       12.96
23/06/2008 00:00,       13.12
24/06/2008 00:00,       13.06
25/06/2008 00:00,       12.16
26/06/2008 00:00,       11.70
27/06/2008 00:00,       11.65
28/06/2008 00:00,       11.18
29/06/2008 00:00,       10.49
30/06/2008 00:00,       10.30
01/07/2008 00:00,       11.62
02/07/2008 00:00,       11.87
03/07/2008 00:00,       11.93
04/07/2008 00:00,       12.01
05/07/2008 00:00,        9.81
06/07/2008 00:00,        9.73
07/07/2008 00:00,        9.79
08/07/2008 00:00,        9.37
09/07/2008 00:00,        9.99
10/07/2008 00:00,       10.02
11/07/2008 00:00,        9.77
12/07/2008 00:00,        9.43
13/07/2008 00:00,        9.04
14/07/2008 00:00,       10.54
15/07/2008 00:00,       11.56
16/07/2008 00:00,       11.14
17/07/2008 00:00,       10.56
18/07/2008 00:00,       10.53
19/07/2008 00:00,       10.06
20/07/2008 00:00,        9.90
21/07/2008 00:00,       10.19
22/07/2008 00:00,       10.32
23/07/2008 00:00,       10.51
24/07/2008 00:00,        9.95
25/07/2008 00:00,        9.74
26/07/2008 00:00,       10.35
27/07/2008 00:00,       10.35
28/07/2008 00:00,       10.07
29/07/2008 00:00,        9.63
30/07/2008 00:00,        9.79
31/07/2008 00:00,       10.74
01/08/2008 00:00,       10.98
02/08/2008 00:00,       10.73
03/08/2008 00:00,       11.45
04/08/2008 00:00,       11.77
05/08/2008 00:00,       12.49
06/08/2008 00:00,       12.16
07/08/2008 00:00,       10.21
08/08/2008 00:00,        9.83
09/08/2008 00:00,        9.57
10/08/2008 00:00,        8.90
11/08/2008 00:00,        9.18
12/08/2008 00:00,        9.91
13/08/2008 00:00,       11.13
14/08/2008 00:00,       11.49
15/08/2008 00:00,       11.67
16/08/2008 00:00,       12.12
17/08/2008 00:00,       12.05
18/08/2008 00:00,       12.48
19/08/2008 00:00,       12.28
20/08/2008 00:00,       11.83
21/08/2008 00:00,       11.56
22/08/2008 00:00,       10.71
23/08/2008 00:00,       11.18
24/08/2008 00:00,       12.11
25/08/2008 00:00,       12.14
26/08/2008 00:00,       12.17
27/08/2008 00:00,       12.13
28/08/2008 00:00,       12.28
29/08/2008 00:00,       12.32
30/08/2008 00:00,       12.11
31/08/2008 00:00,       12.15
01/09/2008 00:00,       11.99
02/09/2008 00:00,       12.60
03/09/2008 00:00,       12.53
04/09/2008 00:00,       12.34
05/09/2008 00:00,       13.18
06/09/2008 00:00,       13.44
07/09/2008 00:00,       14.19
08/09/2008 00:00,       13.81
09/09/2008 00:00,       13.56
10/09/2008 00:00,       13.27
11/09/2008 00:00,       14.25
12/09/2008 00:00,       15.53
13/09/2008 00:00,       16.26
14/09/2008 00:00,       15.19
15/09/2008 00:00,       13.03
16/09/2008 00:00,       11.89
17/09/2008 00:00,       12.68
18/09/2008 00:00,       12.84
19/09/2008 00:00,       14.28
20/09/2008 00:00,       14.50
21/09/2008 00:00,       14.95
22/09/2008 00:00,       14.00
23/09/2008 00:00,       12.35
24/09/2008 00:00,       14.18
25/09/2008 00:00,       15.10
26/09/2008 00:00,       16.15
27/09/2008 00:00,       17.22
28/09/2008 00:00,       16.76
29/09/2008 00:00,       15.98
30/09/2008 00:00,       15.78
01/10/2008 00:00,       14.92
02/10/2008 00:00,       16.15
03/10/2008 00:00,       16.44
04/10/2008 00:00,       15.74
05/10/2008 00:00,       16.20
06/10/2008 00:00,       15.14
07/10/2008 00:00,       14.03
08/10/2008 00:00,       14.66
09/10/2008 00:00,       16.21
10/10/2008 00:00,       17.62
11/10/2008 00:00,       18.41
12/10/2008 00:00,       19.05
13/10/2008 00:00,       18.38
14/10/2008 00:00,       16.86
15/10/2008 00:00,       16.51
16/10/2008 00:00,       17.43
17/10/2008 00:00,       19.28
18/10/2008 00:00,       20.81
19/10/2008 00:00,       19.68
20/10/2008 00:00,       17.36
21/10/2008 00:00,       16.33
22/10/2008 00:00,       15.95
23/10/2008 00:00,       16.89
24/10/2008 00:00,       18.27
25/10/2008 00:00,       19.79
26/10/2008 00:00,       19.38
27/10/2008 00:00,       18.03
28/10/2008 00:00,       18.28
29/10/2008 00:00,       17.72
30/10/2008 00:00,       19.27
31/10/2008 00:00,       17.91
01/11/2008 00:00,       17.44
02/11/2008 00:00,       18.83
03/11/2008 00:00,       17.75
04/11/2008 00:00,       16.95
05/11/2008 00:00,       19.06
06/11/2008 00:00,       20.53
07/11/2008 00:00,       18.83
08/11/2008 00:00,       16.22
09/11/2008 00:00,       17.46
10/11/2008 00:00,       19.70
11/11/2008 00:00,       22.16
12/11/2008 00:00,       23.60
13/11/2008 00:00,       23.53
14/11/2008 00:00,       20.86
15/11/2008 00:00,       18.44
16/11/2008 00:00,       17.81
17/11/2008 00:00,       17.74
18/11/2008 00:00,       17.97
19/11/2008 00:00,       17.65
20/11/2008 00:00,       17.29
21/11/2008 00:00,       16.36
22/11/2008 00:00,       13.99
23/11/2008 00:00,       14.17
24/11/2008 00:00,       16.57
25/11/2008 00:00,       18.32
26/11/2008 00:00,       20.86
27/11/2008 00:00,       20.76
28/11/2008 00:00,       19.01
29/11/2008 00:00,       17.83
30/11/2008 00:00,       18.82
01/12/2008 00:00,       18.29
02/12/2008 00:00,       18.33
03/12/2008 00:00,       18.95
04/12/2008 00:00,       18.04
05/12/2008 00:00,       18.97
06/12/2008 00:00,       19.29
07/12/2008 00:00,       17.81
08/12/2008 00:00,       18.80
09/12/2008 00:00,       19.29
10/12/2008 00:00,       18.92
11/12/2008 00:00,       19.51
12/12/2008 00:00,       19.10
13/12/2008 00:00,       17.23
14/12/2008 00:00,       16.40
15/12/2008 00:00,       18.24
16/12/2008 00:00,       20.37
17/12/2008 00:00,       20.92
18/12/2008 00:00,       20.63
19/12/2008 00:00,       18.74
20/12/2008 00:00,       19.71
21/12/2008 00:00,       21.06
22/12/2008 00:00,       21.07
23/12/2008 00:00,       20.30
24/12/2008 00:00,       21.01
25/12/2008 00:00,       21.44
26/12/2008 00:00,       22.96
27/12/2008 00:00,       23.63
28/12/2008 00:00,       21.54
29/12/2008 00:00,       19.68
30/12/2008 00:00,       19.73
31/12/2008 00:00,       19.43
01/01/2009 00:00,       19.29
02/01/2009 00:00,       17.87
03/01/2009 00:00,       19.24
04/01/2009 00:00,       21.29
05/01/2009 00:00,       22.04
06/01/2009 00:00,       22.87
07/01/2009 00:00,       21.85
08/01/2009 00:00,       19.23
09/01/2009 00:00,       18.07
10/01/2009 00:00,       18.65
11/01/2009 00:00,       19.63
12/01/2009 00:00,       21.18
13/01/2009 00:00,       24.19
14/01/2009 00:00,       24.24
15/01/2009 00:00,       21.34
16/01/2009 00:00,       20.06
17/01/2009 00:00,       19.39
18/01/2009 00:00,       21.51
19/01/2009 00:00,       23.68
20/01/2009 00:00,       24.09
21/01/2009 00:00,       23.07
22/01/2009 00:00,       22.33
23/01/2009 00:00,       20.67
24/01/2009 00:00,       21.32
25/01/2009 00:00,       21.75
26/01/2009 00:00,       22.41
27/01/2009 00:00,       24.68
28/01/2009 00:00,       26.48
29/01/2009 00:00,       28.73
30/01/2009 00:00,       29.29
31/01/2009 00:00,       27.94
01/02/2009 00:00,       26.22
02/02/2009 00:00,       25.63
03/02/2009 00:00,       24.68
04/02/2009 00:00,       24.74
05/02/2009 00:00,       24.25
06/02/2009 00:00,       25.24
07/02/2009 00:00,       25.88
08/02/2009 00:00,       21.84
09/02/2009 00:00,       18.89
10/02/2009 00:00,       17.60
11/02/2009 00:00,       16.48
12/02/2009 00:00,       17.00
13/02/2009 00:00,       18.29
14/02/2009 00:00,       20.41
15/02/2009 00:00,       21.34
16/02/2009 00:00,       22.15
17/02/2009 00:00,       23.24
18/02/2009 00:00,       24.43
19/02/2009 00:00,       24.12
20/02/2009 00:00,       21.03
21/02/2009 00:00,       20.16
22/02/2009 00:00,       20.66
23/02/2009 00:00,       21.42
24/02/2009 00:00,       19.29
25/02/2009 00:00,       19.33
26/02/2009 00:00,       21.29
27/02/2009 00:00,       21.09
28/02/2009 00:00,       20.73
01/03/2009 00:00,       19.80
02/03/2009 00:00,       19.36
03/03/2009 00:00,       19.45
04/03/2009 00:00,       17.13
05/03/2009 00:00,       17.61
06/03/2009 00:00,       18.15
07/03/2009 00:00,       18.70
08/03/2009 00:00,       18.51
09/03/2009 00:00,       18.75
10/03/2009 00:00,       19.55
11/03/2009 00:00,       21.73
12/03/2009 00:00,       22.55
13/03/2009 00:00,       22.87
14/03/2009 00:00,       20.71
15/03/2009 00:00,       17.42
16/03/2009 00:00,       17.35
17/03/2009 00:00,       18.09
18/03/2009 00:00,       18.61
19/03/2009 00:00,       20.29
20/03/2009 00:00,       20.29
21/03/2009 00:00,       20.65
22/03/2009 00:00,       19.48
23/03/2009 00:00,       18.70
24/03/2009 00:00,       17.92
25/03/2009 00:00,       19.68
26/03/2009 00:00,       20.71
27/03/2009 00:00,       19.13
28/03/2009 00:00,       19.19
29/03/2009 00:00,       20.33
30/03/2009 00:00,       20.01
31/03/2009 00:00,       19.84
01/04/2009 00:00,       20.90
02/04/2009 00:00,       21.35
03/04/2009 00:00,       19.53
04/04/2009 00:00,       17.11
05/04/2009 00:00,       17.35
06/04/2009 00:00,       15.90
07/04/2009 00:00,       15.68
08/04/2009 00:00,       16.12
09/04/2009 00:00,       16.87
10/04/2009 00:00,       17.32
11/04/2009 00:00,       18.13
12/04/2009 00:00,       18.67
13/04/2009 00:00,       19.00
14/04/2009 00:00,       19.11
15/04/2009 00:00,       17.22
16/04/2009 00:00,       16.15
17/04/2009 00:00,       17.10
18/04/2009 00:00,       18.11
19/04/2009 00:00,       17.76
20/04/2009 00:00,       16.95
21/04/2009 00:00,       17.06
22/04/2009 00:00,       16.69
23/04/2009 00:00,       14.92
24/04/2009 00:00,       15.64
25/04/2009 00:00,       14.91
26/04/2009 00:00,       12.41
27/04/2009 00:00,       13.19
28/04/2009 00:00,       13.72
29/04/2009 00:00,       13.90
30/04/2009 00:00,       14.23
01/05/2009 00:00,       14.27
02/05/2009 00:00,       14.39
03/05/2009 00:00,       15.27
04/05/2009 00:00,       16.02
05/05/2009 00:00,       15.82
06/05/2009 00:00,       16.21
07/05/2009 00:00,       15.96
08/05/2009 00:00,       15.68
09/05/2009 00:00,       15.46
10/05/2009 00:00,       15.17
11/05/2009 00:00,       14.64
12/05/2009 00:00,       14.46
13/05/2009 00:00,       14.73
14/05/2009 00:00,       14.20
15/05/2009 00:00,       14.84
16/05/2009 00:00,       15.26
17/05/2009 00:00,       15.39
18/05/2009 00:00,       14.81
19/05/2009 00:00,       14.06
20/05/2009 00:00,       14.48
21/05/2009 00:00,       14.53
22/05/2009 00:00,       14.41
23/05/2009 00:00,       13.69
24/05/2009 00:00,       13.89
25/05/2009 00:00,       14.46
26/05/2009 00:00,       14.45
27/05/2009 00:00,       14.32
28/05/2009 00:00,       13.68
29/05/2009 00:00,       12.62
30/05/2009 00:00,       12.14
31/05/2009 00:00,       11.50
01/06/2009 00:00,       11.68
02/06/2009 00:00,       12.34
03/06/2009 00:00,       12.68
04/06/2009 00:00,       12.48
05/06/2009 00:00,       12.45
06/06/2009 00:00,       12.36
07/06/2009 00:00,       12.38
08/06/2009 00:00,       11.96
09/06/2009 00:00,       11.38
10/06/2009 00:00,       11.35
11/06/2009 00:00,       10.80
12/06/2009 00:00,        9.59
13/06/2009 00:00,        9.18
14/06/2009 00:00,        9.89
15/06/2009 00:00,       10.22
16/06/2009 00:00,       10.63
17/06/2009 00:00,       10.62
18/06/2009 00:00,       10.74
19/06/2009 00:00,       10.54
20/06/2009 00:00,       10.20
21/06/2009 00:00,       10.02
22/06/2009 00:00,       10.32
23/06/2009 00:00,       10.23
24/06/2009 00:00,       10.08
25/06/2009 00:00,       10.97
26/06/2009 00:00,       11.24
27/06/2009 00:00,       11.29
28/06/2009 00:00,       11.44
29/06/2009 00:00,       11.86
30/06/2009 00:00,       12.30
01/07/2009 00:00,       11.60
02/07/2009 00:00,       11.71
03/07/2009 00:00,       11.82
04/07/2009 00:00,       12.12
05/07/2009 00:00,       12.31
06/07/2009 00:00,       12.06
07/07/2009 00:00,       11.91
08/07/2009 00:00,       11.38
09/07/2009 00:00,       10.85
10/07/2009 00:00,       10.79
11/07/2009 00:00,       11.02
12/07/2009 00:00,       11.57
13/07/2009 00:00,       11.39
14/07/2009 00:00,       10.77
15/07/2009 00:00,       10.59
16/07/2009 00:00,       11.05
17/07/2009 00:00,       11.10
18/07/2009 00:00,       10.71
19/07/2009 00:00,       11.36
20/07/2009 00:00,       11.35
21/07/2009 00:00,       11.37
22/07/2009 00:00,       11.36
23/07/2009 00:00,       11.15
24/07/2009 00:00,       11.28
25/07/2009 00:00,       10.90
26/07/2009 00:00,       10.46
27/07/2009 00:00,       10.69
28/07/2009 00:00,       11.71
29/07/2009 00:00,       12.22
30/07/2009 00:00,       12.66
31/07/2009 00:00,       12.89
01/08/2009 00:00,       13.32
02/08/2009 00:00,       13.21
03/08/2009 00:00,       12.75
04/08/2009 00:00,       12.77
05/08/2009 00:00,       13.43
06/08/2009 00:00,       13.29
07/08/2009 00:00,       12.85
08/08/2009 00:00,       12.00
09/08/2009 00:00,       11.43
10/08/2009 00:00,       11.11
11/08/2009 00:00,       11.74
12/08/2009 00:00,       12.78
13/08/2009 00:00,       13.33
14/08/2009 00:00,       13.71
15/08/2009 00:00,       13.79
16/08/2009 00:00,       13.60
17/08/2009 00:00,       12.63
18/08/2009 00:00,       12.89
19/08/2009 00:00,       13.12
20/08/2009 00:00,       13.18
21/08/2009 00:00,       14.04
22/08/2009 00:00,       13.02
23/08/2009 00:00,       13.11
24/08/2009 00:00,       12.73
25/08/2009 00:00,       11.29
26/08/2009 00:00,       11.68
27/08/2009 00:00,       12.55
28/08/2009 00:00,       13.20
29/08/2009 00:00,       13.72
30/08/2009 00:00,       12.02
31/08/2009 00:00,       12.91
01/09/2009 00:00,       14.23
02/09/2009 00:00,       14.22
03/09/2009 00:00,       13.73
04/09/2009 00:00,       13.38
05/09/2009 00:00,       13.75
06/09/2009 00:00,       12.89
07/09/2009 00:00,       13.26
08/09/2009 00:00,       13.23
09/09/2009 00:00,       13.52
10/09/2009 00:00,       14.03
11/09/2009 00:00,       13.76
12/09/2009 00:00,       15.54
13/09/2009 00:00,       15.94
14/09/2009 00:00,       14.88
15/09/2009 00:00,       14.02
16/09/2009 00:00,       13.42
17/09/2009 00:00,       14.37
18/09/2009 00:00,       14.90
19/09/2009 00:00,       15.98
20/09/2009 00:00,       16.48
21/09/2009 00:00,       15.19
22/09/2009 00:00,       14.16
23/09/2009 00:00,       14.48
24/09/2009 00:00,       14.73
25/09/2009 00:00,       14.53
26/09/2009 00:00,       13.15
27/09/2009 00:00,       11.47
28/09/2009 00:00,       12.08
29/09/2009 00:00,       13.28
30/09/2009 00:00,       13.83
01/10/2009 00:00,       14.64
02/10/2009 00:00,       14.06
03/10/2009 00:00,       14.19
04/10/2009 00:00,       14.99
05/10/2009 00:00,       15.72
06/10/2009 00:00,       15.24
07/10/2009 00:00,       14.23
08/10/2009 00:00,       13.81
09/10/2009 00:00,       14.30
10/10/2009 00:00,       14.71
11/10/2009 00:00,       15.16
12/10/2009 00:00,       14.94
13/10/2009 00:00,       13.66
14/10/2009 00:00,       13.80
15/10/2009 00:00,       14.01
16/10/2009 00:00,       14.05
17/10/2009 00:00,       14.43
18/10/2009 00:00,       15.19
19/10/2009 00:00,       16.06
20/10/2009 00:00,       17.27
21/10/2009 00:00,""
22/10/2009 00:00,""
23/10/2009 00:00,""
24/10/2009 00:00,""
25/10/2009 00:00,""
26/10/2009 00:00,""
27/10/2009 00:00,""
28/10/2009 00:00,""
29/10/2009 00:00,""
30/10/2009 00:00,""
31/10/2009 00:00,""
01/11/2009 00:00,""
02/11/2009 00:00,""
03/11/2009 00:00,""
04/11/2009 00:00,""
05/11/2009 00:00,""
06/11/2009 00:00,""
07/11/2009 00:00,       19.67
08/11/2009 00:00,       21.24
09/11/2009 00:00,       24.23
10/11/2009 00:00,       25.83
11/11/2009 00:00,       27.06
12/11/2009 00:00,       27.02
13/11/2009 00:00,       26.33
14/11/2009 00:00,       27.31
15/11/2009 00:00,       26.52
16/11/2009 00:00,       23.64
17/11/2009 00:00,       22.10
18/11/2009 00:00,       22.25
19/11/2009 00:00,       24.36
20/11/2009 00:00,       24.03
21/11/2009 00:00,       21.82
22/11/2009 00:00,       19.82
23/11/2009 00:00,       18.96
24/11/2009 00:00,       20.36
25/11/2009 00:00,       21.34
26/11/2009 00:00,       22.24
27/11/2009 00:00,       22.62
28/11/2009 00:00,       18.97
29/11/2009 00:00,       18.61
30/11/2009 00:00,       18.66
01/12/2009 00:00,       18.97
02/12/2009 00:00,       19.95
03/12/2009 00:00,       20.56
04/12/2009 00:00,       19.81
05/12/2009 00:00,       19.46
06/12/2009 00:00,       19.61
07/12/2009 00:00,       20.00
08/12/2009 00:00,       19.55
09/12/2009 00:00,       19.07
10/12/2009 00:00,       19.08
11/12/2009 00:00,       18.27
12/12/2009 00:00,       18.57
13/12/2009 00:00,""
14/12/2009 00:00,""
15/12/2009 00:00,""
16/12/2009 00:00,""
17/12/2009 00:00,""
18/12/2009 00:00,""
19/12/2009 00:00,""
20/12/2009 00:00,""
21/12/2009 00:00,""
22/12/2009 00:00,""
23/12/2009 00:00,       24.27
24/12/2009 00:00,       21.81
25/12/2009 00:00,       19.01
26/12/2009 00:00,       19.95
27/12/2009 00:00,       21.64
28/12/2009 00:00,       22.93
29/12/2009 00:00,       23.58
30/12/2009 00:00,       26.71
31/12/2009 00:00,       26.51
01/01/2010 00:00,       23.07
02/01/2010 00:00,       19.32
03/01/2010 00:00,       19.70
04/01/2010 00:00,       22.17
05/01/2010 00:00,       22.83
06/01/2010 00:00,       22.13
07/01/2010 00:00,       23.06
08/01/2010 00:00,       25.68
09/01/2010 00:00,       27.37
10/01/2010 00:00,       28.65
11/01/2010 00:00,       29.35
12/01/2010 00:00,       24.04
13/01/2010 00:00,       20.70
14/01/2010 00:00,       21.26
15/01/2010 00:00,       22.78
16/01/2010 00:00,       22.12
17/01/2010 00:00,       18.93
18/01/2010 00:00,       17.07
19/01/2010 00:00,       20.35
20/01/2010 00:00,       22.80
21/01/2010 00:00,       25.27
22/01/2010 00:00,       24.34
23/01/2010 00:00,       21.46
24/01/2010 00:00,       21.64
25/01/2010 00:00,       22.39
26/01/2010 00:00,       23.19
27/01/2010 00:00,       21.26
28/01/2010 00:00,       21.42
29/01/2010 00:00,       20.34
30/01/2010 00:00,       22.34
31/01/2010 00:00,       22.65
01/02/2010 00:00,       20.52
02/02/2010 00:00,       23.62
03/02/2010 00:00,       25.00
04/02/2010 00:00,       23.51
05/02/2010 00:00,       19.49
06/02/2010 00:00,       19.68
07/02/2010 00:00,       23.70
08/02/2010 00:00,       26.66
09/02/2010 00:00,       28.10
10/02/2010 00:00,       26.81
11/02/2010 00:00,       22.41
12/02/2010 00:00,       22.15
13/02/2010 00:00,       23.06
14/02/2010 00:00,       21.97
15/02/2010 00:00,       21.03
16/02/2010 00:00,       23.63
17/02/2010 00:00,       23.36
18/02/2010 00:00,       22.16
19/02/2010 00:00,       23.84
20/02/2010 00:00,       23.77
21/02/2010 00:00,       23.43
22/02/2010 00:00,       22.18
23/02/2010 00:00,       19.77
24/02/2010 00:00,       20.24
25/02/2010 00:00,       20.78
26/02/2010 00:00,       23.53
27/02/2010 00:00,       22.22
28/02/2010 00:00,       18.21
01/03/2010 00:00,       16.61
02/03/2010 00:00,       17.71
03/03/2010 00:00,       20.15
04/03/2010 00:00,       22.05
05/03/2010 00:00,       23.43
06/03/2010 00:00,       20.91
07/03/2010 00:00,       19.90
08/03/2010 00:00,       17.37
09/03/2010 00:00,       17.29
10/03/2010 00:00,       16.49
11/03/2010 00:00,       17.05
12/03/2010 00:00,       18.48
13/03/2010 00:00,       20.68
14/03/2010 00:00,       20.90
15/03/2010 00:00,       23.24
16/03/2010 00:00,       23.70
17/03/2010 00:00,       25.05
18/03/2010 00:00,       24.71
19/03/2010 00:00,       23.02
20/03/2010 00:00,       22.27
21/03/2010 00:00,       22.37
22/03/2010 00:00,       20.70
23/03/2010 00:00,       19.72
24/03/2010 00:00,       20.50
25/03/2010 00:00,       22.39
26/03/2010 00:00,       22.19
27/03/2010 00:00,       20.37
28/03/2010 00:00,       19.19
29/03/2010 00:00,       20.78
30/03/2010 00:00,       19.67
31/03/2010 00:00,       19.21
01/04/2010 00:00,       19.71
02/04/2010 00:00,       19.04
03/04/2010 00:00,       17.65
04/04/2010 00:00,       18.61
05/04/2010 00:00,       19.17
06/04/2010 00:00,       19.68
07/04/2010 00:00,       19.95
08/04/2010 00:00,       20.31
09/04/2010 00:00,       19.33
10/04/2010 00:00,       18.73
11/04/2010 00:00,       17.38
12/04/2010 00:00,       16.41
13/04/2010 00:00,       17.10
14/04/2010 00:00,       16.95
15/04/2010 00:00,       16.95
16/04/2010 00:00,       17.78
17/04/2010 00:00,       17.51
18/04/2010 00:00,       18.90
19/04/2010 00:00,       18.86
20/04/2010 00:00,       19.28
21/04/2010 00:00,       19.65
22/04/2010 00:00,       21.39
23/04/2010 00:00,       20.03
24/04/2010 00:00,       18.73
25/04/2010 00:00,       17.21
26/04/2010 00:00,       16.49
27/04/2010 00:00,       16.96
28/04/2010 00:00,       15.72
29/04/2010 00:00,       16.31
30/04/2010 00:00,       16.31
01/05/2010 00:00,       15.60
02/05/2010 00:00,       16.67
03/05/2010 00:00,       15.99
04/05/2010 00:00,       15.51
05/05/2010 00:00,       13.61
06/05/2010 00:00,       14.69
07/05/2010 00:00,       16.16
08/05/2010 00:00,       17.61
09/05/2010 00:00,       18.24
10/05/2010 00:00,       16.71
11/05/2010 00:00,       14.23
12/05/2010 00:00,       13.19
13/05/2010 00:00,       13.58
14/05/2010 00:00,       13.26
15/05/2010 00:00,       12.42
16/05/2010 00:00,       13.29
17/05/2010 00:00,       12.76
18/05/2010 00:00,       14.40
19/05/2010 00:00,       14.15
20/05/2010 00:00,       14.30
21/05/2010 00:00,       14.09
22/05/2010 00:00,       13.87
23/05/2010 00:00,       11.15
24/05/2010 00:00,       12.34
25/05/2010 00:00,       13.51
26/05/2010 00:00,       14.96
27/05/2010 00:00,       15.14
28/05/2010 00:00,       13.99
29/05/2010 00:00,       13.86
30/05/2010 00:00,       14.27
31/05/2010 00:00,       14.19
01/06/2010 00:00,       14.31
02/06/2010 00:00,       13.70
03/06/2010 00:00,       13.80
04/06/2010 00:00,       13.75
05/06/2010 00:00,       14.03
06/06/2010 00:00,       13.47
07/06/2010 00:00,       12.67
08/06/2010 00:00,       12.23
09/06/2010 00:00,       11.82
10/06/2010 00:00,       12.00
11/06/2010 00:00,       12.74
12/06/2010 00:00,       12.90
13/06/2010 00:00,       12.76
14/06/2010 00:00,       12.20
15/06/2010 00:00,       10.71
16/06/2010 00:00,        9.58
17/06/2010 00:00,       10.89
18/06/2010 00:00,       11.52
19/06/2010 00:00,       12.94
20/06/2010 00:00,       14.23
21/06/2010 00:00,       14.31
22/06/2010 00:00,       13.69
23/06/2010 00:00,       12.69
24/06/2010 00:00,       11.69
25/06/2010 00:00,       12.26
26/06/2010 00:00,       11.66
27/06/2010 00:00,       11.20
28/06/2010 00:00,       10.28
29/06/2010 00:00,       10.33
30/06/2010 00:00,       10.28
01/07/2010 00:00,       10.95
02/07/2010 00:00,       11.01
03/07/2010 00:00,       11.21
04/07/2010 00:00,       11.11
05/07/2010 00:00,       10.50
06/07/2010 00:00,       10.26
07/07/2010 00:00,       10.74
08/07/2010 00:00,       11.37
09/07/2010 00:00,       10.10
10/07/2010 00:00,       11.12
11/07/2010 00:00,       11.84
12/07/2010 00:00,       11.43
13/07/2010 00:00,       10.87
14/07/2010 00:00,       10.98
15/07/2010 00:00,       11.76
16/07/2010 00:00,       12.36
17/07/2010 00:00,       12.40
18/07/2010 00:00,       10.96
19/07/2010 00:00,       11.89
20/07/2010 00:00,       12.29
21/07/2010 00:00,       12.48
22/07/2010 00:00,       12.80
23/07/2010 00:00,       13.07
24/07/2010 00:00,       12.65
25/07/2010 00:00,       12.82
26/07/2010 00:00,       12.58
27/07/2010 00:00,       11.90
28/07/2010 00:00,       11.53
29/07/2010 00:00,       12.40
30/07/2010 00:00,       12.91
31/07/2010 00:00,       12.97
01/08/2010 00:00,       11.48
02/08/2010 00:00,       10.48
03/08/2010 00:00,       11.42
04/08/2010 00:00,       10.66
05/08/2010 00:00,       10.24
06/08/2010 00:00,       11.12
07/08/2010 00:00,       10.08
08/08/2010 00:00,        9.44
09/08/2010 00:00,       10.23
10/08/2010 00:00,       10.75
11/08/2010 00:00,       11.61
12/08/2010 00:00,       11.43
13/08/2010 00:00,       11.92
14/08/2010 00:00,       11.15
15/08/2010 00:00,       11.73
16/08/2010 00:00,       11.75
17/08/2010 00:00,       11.14
18/08/2010 00:00,       11.36
19/08/2010 00:00,       11.53
20/08/2010 00:00,       10.62
21/08/2010 00:00,       11.19
22/08/2010 00:00,       11.55
23/08/2010 00:00,       12.37
24/08/2010 00:00,       11.75
25/08/2010 00:00,       10.39
26/08/2010 00:00,       10.95
27/08/2010 00:00,       11.97
28/08/2010 00:00,       13.54
29/08/2010 00:00,       14.09
30/08/2010 00:00,       14.38
31/08/2010 00:00,       13.42
01/09/2010 00:00,       13.21
02/09/2010 00:00,       13.19
03/09/2010 00:00,       11.72
04/09/2010 00:00,       12.60
05/09/2010 00:00,       12.37
06/09/2010 00:00,       12.94
07/09/2010 00:00,       13.67
08/09/2010 00:00,       13.06
09/09/2010 00:00,       14.15
10/09/2010 00:00,       13.95
11/09/2010 00:00,       14.31
12/09/2010 00:00,       14.53
13/09/2010 00:00,       14.63
14/09/2010 00:00,       14.21
15/09/2010 00:00,       13.81
16/09/2010 00:00,       13.70
17/09/2010 00:00,       13.02
18/09/2010 00:00,       12.87
19/09/2010 00:00,       13.58
20/09/2010 00:00,       13.59
21/09/2010 00:00,       14.16
22/09/2010 00:00,       14.02
23/09/2010 00:00,       14.23
24/09/2010 00:00,       14.21
25/09/2010 00:00,       15.74
26/09/2010 00:00,       15.85
27/09/2010 00:00,       16.17
28/09/2010 00:00,       14.43
29/09/2010 00:00,       13.99
30/09/2010 00:00,       13.85
01/10/2010 00:00,       13.85
02/10/2010 00:00,       15.13
03/10/2010 00:00,       15.14
04/10/2010 00:00,       16.27
05/10/2010 00:00,       16.96
06/10/2010 00:00,       17.75
07/10/2010 00:00,       15.76
08/10/2010 00:00,       16.02
