Time,Q
01/07/2013 00:00:00,3.7505
02/07/2013 00:00:00,1.7849
03/07/2013 00:00:00,1.2550
04/07/2013 00:00:00,0.8103
05/07/2013 00:00:00,0.0000
06/07/2013 00:00:00,0.0000
07/07/2013 00:00:00,0.0000
08/07/2013 00:00:00,1.6033
09/07/2013 00:00:00,5.7077
10/07/2013 00:00:00,6.0717
11/07/2013 00:00:00,5.9082
12/07/2013 00:00:00,5.8289
13/07/2013 00:00:00,6.1370
14/07/2013 00:00:00,5.1593
15/07/2013 00:00:00,5.0296
16/07/2013 00:00:00,6.0224
17/07/2013 00:00:00,7.0823
18/07/2013 00:00:00,2.9303
19/07/2013 00:00:00,0.0000
20/07/2013 00:00:00,0.0000
21/07/2013 00:00:00,0.0000
22/07/2013 00:00:00,0.0000
23/07/2013 00:00:00,2.5659
24/07/2013 00:00:00,6.3198
25/07/2013 00:00:00,7.1118
26/07/2013 00:00:00,6.7214
27/07/2013 00:00:00,7.7080
28/07/2013 00:00:00,6.2350
29/07/2013 00:00:00,4.7043
30/07/2013 00:00:00,5.8627
31/07/2013 00:00:00,6.4014
01/08/2013 00:00:00,6.5846
02/08/2013 00:00:00,1.6029
03/08/2013 00:00:00,2.2223
04/08/2013 00:00:00,0.0000
05/08/2013 00:00:00,0.0000
06/08/2013 00:00:00,2.6046
07/08/2013 00:00:00,1.6458
08/08/2013 00:00:00,2.9632
09/08/2013 00:00:00,5.6653
10/08/2013 00:00:00,9.6475
11/08/2013 00:00:00,6.4677
12/08/2013 00:00:00,2.3409
13/08/2013 00:00:00,2.3587
14/08/2013 00:00:00,-0.6021
15/08/2013 00:00:00,2.5097
16/08/2013 00:00:00,5.5077
17/08/2013 00:00:00,3.5613
18/08/2013 00:00:00,0.0000
19/08/2013 00:00:00,0.0000
20/08/2013 00:00:00,11.9737
21/08/2013 00:00:00,27.9284
22/08/2013 00:00:00,21.2551
23/08/2013 00:00:00,14.7180
24/08/2013 00:00:00,11.3995
25/08/2013 00:00:00,12.3519
26/08/2013 00:00:00,18.0538
27/08/2013 00:00:00,22.1468
28/08/2013 00:00:00,15.4369
29/08/2013 00:00:00,10.9613
30/08/2013 00:00:00,6.8912
31/08/2013 00:00:00,6.2223
01/09/2013 00:00:00,6.1296
02/09/2013 00:00:00,6.0218
03/09/2013 00:00:00,6.5840
04/09/2013 00:00:00,6.6788
05/09/2013 00:00:00,6.0281
06/09/2013 00:00:00,6.0783
07/09/2013 00:00:00,6.0292
08/09/2013 00:00:00,6.7939
09/09/2013 00:00:00,3.3009
10/09/2013 00:00:00,0.0000
11/09/2013 00:00:00,3.0846
12/09/2013 00:00:00,6.9264
13/09/2013 00:00:00,6.4870
14/09/2013 00:00:00,5.6209
15/09/2013 00:00:00,7.0487
16/09/2013 00:00:00,4.0464
17/09/2013 00:00:00,1.5187
18/09/2013 00:00:00,0.0000
19/09/2013 00:00:00,0.0000
20/09/2013 00:00:00,0.0000
21/09/2013 00:00:00,0.0000
22/09/2013 00:00:00,0.0000
23/09/2013 00:00:00,5.7769
24/09/2013 00:00:00,11.1938
25/09/2013 00:00:00,3.2116
26/09/2013 00:00:00,0.0000
27/09/2013 00:00:00,8.0847
28/09/2013 00:00:00,0.0000
29/09/2013 00:00:00,0.0000
30/09/2013 00:00:00,12.4197
01/10/2013 00:00:00,-8.1189
02/10/2013 00:00:00,0.0000
03/10/2013 00:00:00,13.8358
04/10/2013 00:00:00,29.8402
05/10/2013 00:00:00,22.7026
06/10/2013 00:00:00,0.0747
07/10/2013 00:00:00,21.9822
08/10/2013 00:00:00,24.7207
09/10/2013 00:00:00,25.7883
10/10/2013 00:00:00,12.7890
11/10/2013 00:00:00,25.9008
12/10/2013 00:00:00,14.0899
13/10/2013 00:00:00,0.0000
14/10/2013 00:00:00,0.0000
15/10/2013 00:00:00,12.7599
16/10/2013 00:00:00,16.7097
17/10/2013 00:00:00,-6.5169
18/10/2013 00:00:00,20.4403
19/10/2013 00:00:00,11.8170
20/10/2013 00:00:00,4.4493
21/10/2013 00:00:00,0.0000
22/10/2013 00:00:00,0.0000
23/10/2013 00:00:00,0.0000
24/10/2013 00:00:00,0.0000
25/10/2013 00:00:00,0.0000
26/10/2013 00:00:00,0.0000
27/10/2013 00:00:00,0.0000
28/10/2013 00:00:00,3.0241
29/10/2013 00:00:00,7.1334
30/10/2013 00:00:00,3.6144
31/10/2013 00:00:00,0.0000
01/11/2013 00:00:00,21.9965
02/11/2013 00:00:00,10.3547
03/11/2013 00:00:00,0.0707
04/11/2013 00:00:00,11.9247
05/11/2013 00:00:00,23.1897
06/11/2013 00:00:00,21.0114
07/11/2013 00:00:00,15.0518
08/11/2013 00:00:00,6.9799
09/11/2013 00:00:00,10.5318
10/11/2013 00:00:00,20.9134
11/11/2013 00:00:00,21.3536
12/11/2013 00:00:00,21.8017
13/11/2013 00:00:00,25.9266
14/11/2013 00:00:00,30.1239
15/11/2013 00:00:00,30.9650
16/11/2013 00:00:00,30.0678
17/11/2013 00:00:00,29.6331
18/11/2013 00:00:00,29.3845
19/11/2013 00:00:00,12.3653
20/11/2013 00:00:00,16.8926
21/11/2013 00:00:00,36.0648
22/11/2013 00:00:00,35.9034
23/11/2013 00:00:00,34.8802
24/11/2013 00:00:00,40.2049
25/11/2013 00:00:00,43.9090
26/11/2013 00:00:00,41.9466
27/11/2013 00:00:00,32.1096
28/11/2013 00:00:00,19.8060
29/11/2013 00:00:00,18.9697
30/11/2013 00:00:00,22.5715
01/12/2013 00:00:00,22.1324
02/12/2013 00:00:00,18.1192
03/12/2013 00:00:00,17.2956
04/12/2013 00:00:00,0.0000
05/12/2013 00:00:00,0.0000
06/12/2013 00:00:00,0.0000
07/12/2013 00:00:00,0.0000
08/12/2013 00:00:00,0.0000
09/12/2013 00:00:00,0.0000
10/12/2013 00:00:00,0.0000
11/12/2013 00:00:00,0.0000
12/12/2013 00:00:00,0.0000
13/12/2013 00:00:00,0.0000
14/12/2013 00:00:00,0.0000
15/12/2013 00:00:00,0.0000
16/12/2013 00:00:00,0.0000
17/12/2013 00:00:00,0.0000
18/12/2013 00:00:00,0.0000
19/12/2013 00:00:00,0.0000
20/12/2013 00:00:00,0.0000
21/12/2013 00:00:00,0.0000
22/12/2013 00:00:00,0.0000
23/12/2013 00:00:00,0.0000
24/12/2013 00:00:00,0.0000
25/12/2013 00:00:00,0.0000
26/12/2013 00:00:00,0.0000
27/12/2013 00:00:00,0.0000
28/12/2013 00:00:00,0.0000
29/12/2013 00:00:00,0.0000
30/12/2013 00:00:00,0.0000
31/12/2013 00:00:00,0.0000
01/01/2014 00:00:00,0.0000
02/01/2014 00:00:00,0.0000
03/01/2014 00:00:00,0.0000
04/01/2014 00:00:00,0.0000
05/01/2014 00:00:00,0.0000
06/01/2014 00:00:00,0.0000
07/01/2014 00:00:00,0.0000
08/01/2014 00:00:00,1.9481
09/01/2014 00:00:00,0.0000
10/01/2014 00:00:00,3.4166
11/01/2014 00:00:00,0.0000
12/01/2014 00:00:00,0.0000
13/01/2014 00:00:00,0.0000
14/01/2014 00:00:00,0.0000
15/01/2014 00:00:00,0.0000
16/01/2014 00:00:00,0.0000
17/01/2014 00:00:00,0.0000
18/01/2014 00:00:00,0.0000
19/01/2014 00:00:00,0.0000
20/01/2014 00:00:00,0.0000
21/01/2014 00:00:00,0.0000
22/01/2014 00:00:00,0.0000
23/01/2014 00:00:00,0.0000
24/01/2014 00:00:00,0.0000
25/01/2014 00:00:00,0.0000
26/01/2014 00:00:00,0.0000
27/01/2014 00:00:00,0.0000
28/01/2014 00:00:00,0.0000
29/01/2014 00:00:00,0.0000
30/01/2014 00:00:00,0.0000
31/01/2014 00:00:00,0.0000
01/02/2014 00:00:00,0.0000
02/02/2014 00:00:00,0.0000
03/02/2014 00:00:00,0.0000
04/02/2014 00:00:00,0.0000
05/02/2014 00:00:00,0.0000
06/02/2014 00:00:00,0.0000
07/02/2014 00:00:00,0.0000
08/02/2014 00:00:00,0.0000
09/02/2014 00:00:00,0.0000
10/02/2014 00:00:00,0.0000
11/02/2014 00:00:00,0.0000
12/02/2014 00:00:00,0.0000
13/02/2014 00:00:00,0.0000
14/02/2014 00:00:00,0.0000
15/02/2014 00:00:00,0.0000
16/02/2014 00:00:00,0.0000
17/02/2014 00:00:00,0.0000
18/02/2014 00:00:00,0.0000
19/02/2014 00:00:00,0.0000
20/02/2014 00:00:00,0.0000
21/02/2014 00:00:00,0.0000
22/02/2014 00:00:00,0.0000
23/02/2014 00:00:00,0.0000
24/02/2014 00:00:00,0.0000
25/02/2014 00:00:00,0.0000
26/02/2014 00:00:00,0.0000
27/02/2014 00:00:00,0.0000
28/02/2014 00:00:00,0.0000
01/03/2014 00:00:00,0.0000
02/03/2014 00:00:00,0.0000
03/03/2014 00:00:00,0.0000
04/03/2014 00:00:00,0.0000
05/03/2014 00:00:00,0.0000
06/03/2014 00:00:00,0.0000
07/03/2014 00:00:00,0.0000
08/03/2014 00:00:00,0.0000
09/03/2014 00:00:00,0.0000
10/03/2014 00:00:00,0.0000
11/03/2014 00:00:00,0.0000
12/03/2014 00:00:00,0.0000
13/03/2014 00:00:00,0.0000
14/03/2014 00:00:00,0.0000
15/03/2014 00:00:00,0.0000
16/03/2014 00:00:00,0.0000
17/03/2014 00:00:00,0.0000
18/03/2014 00:00:00,0.0000
19/03/2014 00:00:00,0.0000
20/03/2014 00:00:00,0.0000
21/03/2014 00:00:00,0.0000
22/03/2014 00:00:00,0.0000
23/03/2014 00:00:00,0.0000
24/03/2014 00:00:00,0.0000
25/03/2014 00:00:00,0.0000
26/03/2014 00:00:00,0.0000
27/03/2014 00:00:00,0.0000
28/03/2014 00:00:00,0.0000
29/03/2014 00:00:00,0.0000
30/03/2014 00:00:00,0.0000
31/03/2014 00:00:00,0.0000
01/04/2014 00:00:00,0.0000
02/04/2014 00:00:00,0.0000
03/04/2014 00:00:00,0.0000
04/04/2014 00:00:00,0.0000
05/04/2014 00:00:00,0.0000
06/04/2014 00:00:00,0.0000
07/04/2014 00:00:00,0.0000
08/04/2014 00:00:00,0.0000
09/04/2014 00:00:00,3.9719
10/04/2014 00:00:00,2.4938
11/04/2014 00:00:00,3.7884
12/04/2014 00:00:00,6.3984
13/04/2014 00:00:00,6.0134
14/04/2014 00:00:00,6.0681
15/04/2014 00:00:00,6.3405
16/04/2014 00:00:00,4.0893
17/04/2014 00:00:00,0.0000
18/04/2014 00:00:00,0.0000
19/04/2014 00:00:00,0.0000
20/04/2014 00:00:00,0.0000
21/04/2014 00:00:00,0.0000
22/04/2014 00:00:00,0.0000
23/04/2014 00:00:00,0.0000
24/04/2014 00:00:00,0.0000
25/04/2014 00:00:00,0.0000
26/04/2014 00:00:00,0.0000
27/04/2014 00:00:00,0.0000
28/04/2014 00:00:00,0.0000
29/04/2014 00:00:00,0.0000
30/04/2014 00:00:00,0.0000
01/05/2014 00:00:00,0.0000
02/05/2014 00:00:00,0.0000
03/05/2014 00:00:00,0.0000
04/05/2014 00:00:00,0.0000
05/05/2014 00:00:00,3.2527
06/05/2014 00:00:00,5.9868
07/05/2014 00:00:00,6.6301
08/05/2014 00:00:00,7.3378
09/05/2014 00:00:00,7.0122
10/05/2014 00:00:00,5.8158
11/05/2014 00:00:00,5.5297
12/05/2014 00:00:00,5.7716
13/05/2014 00:00:00,5.9716
14/05/2014 00:00:00,3.0111
15/05/2014 00:00:00,0.0000
16/05/2014 00:00:00,0.0000
17/05/2014 00:00:00,0.0000
18/05/2014 00:00:00,0.0000
19/05/2014 00:00:00,0.0000
20/05/2014 00:00:00,0.0000
