Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/09/2012 09:45:15,09/12/2014 10:31:04,28.000
Conductivity,12/09/2012 09:45:12,10/12/2014 00:01:01,58.000
WQ_NIT_NIT,14/07/2014 00:00:33,05/01/2016 15:15:54,12.000
WQ_PHS_FRP,14/07/2014 00:00:31,05/01/2016 15:16:15,8.000
WQ_DIAG_TOT_TKN,14/07/2014 00:00:02,05/01/2016 15:15:09,8.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 09:45:07,05/01/2016 15:16:04,128.000
WQ_CAR_DIC,12/09/2012 09:45:04,09/12/2014 10:30:25,14.000
WQ_NIT_AMM,14/07/2014 00:00:27,05/01/2016 15:15:13,7.000
WQ_GEO_CL,12/09/2012 09:45:03,10/12/2014 00:00:59,28.000
WQ_CAR_PH,12/09/2012 09:45:02,09/12/2014 10:31:03,42.000
WQ_DIAG_TOT_TP,14/07/2014 00:00:06,05/01/2016 15:15:59,8.000
WQ_SIL_RSI,14/07/2014 00:00:09,05/01/2016 15:15:02,8.000
TEMP,12/09/2012 09:45:17,09/12/2014 10:30:27,27.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,12/09/2012 09:45:07,05/01/2016 15:16:04,128.000
WQ_TRC_SS1,12/09/2012 09:45:07,05/01/2016 15:16:04,128.000
ON,14/07/2014 00:00:02,05/01/2016 00:00:02,8.000
OP,14/07/2014 00:00:00,05/01/2016 00:00:00,8.000
SAL,12/09/2012 09:45:12,10/12/2014 00:01:01,58.000
